simulation	patchID	patch_value
empty_p20_big_clusters_rep04	1	S
empty_p20_big_clusters_rep04	2	S
empty_p20_big_clusters_rep04	3	S
empty_p20_big_clusters_rep04	4	S
empty_p20_big_clusters_rep04	5	S
empty_p20_big_clusters_rep04	6	S
empty_p20_big_clusters_rep04	7	S
empty_p20_big_clusters_rep04	8	S
empty_p20_big_clusters_rep04	9	S
empty_p20_big_clusters_rep04	10	S
empty_p20_big_clusters_rep04	11	S
empty_p20_big_clusters_rep04	12	S
empty_p20_big_clusters_rep04	13	S
empty_p20_big_clusters_rep04	14	O
empty_p20_big_clusters_rep04	15	O
empty_p20_big_clusters_rep04	16	O
empty_p20_big_clusters_rep04	17	O
empty_p20_big_clusters_rep04	18	O
empty_p20_big_clusters_rep04	19	O
empty_p20_big_clusters_rep04	20	O
empty_p20_big_clusters_rep04	21	O
empty_p20_big_clusters_rep04	22	O
empty_p20_big_clusters_rep04	23	O
empty_p20_big_clusters_rep04	24	O
empty_p20_big_clusters_rep04	25	S
empty_p20_big_clusters_rep04	26	S
empty_p20_big_clusters_rep04	27	S
empty_p20_big_clusters_rep04	28	S
empty_p20_big_clusters_rep04	29	S
empty_p20_big_clusters_rep04	30	S
empty_p20_big_clusters_rep04	31	S
empty_p20_big_clusters_rep04	32	S
empty_p20_big_clusters_rep04	33	S
empty_p20_big_clusters_rep04	34	S
empty_p20_big_clusters_rep04	35	S
empty_p20_big_clusters_rep04	36	S
empty_p20_big_clusters_rep04	37	S
empty_p20_big_clusters_rep04	38	S
empty_p20_big_clusters_rep04	39	O
empty_p20_big_clusters_rep04	40	O
empty_p20_big_clusters_rep04	41	O
empty_p20_big_clusters_rep04	42	O
empty_p20_big_clusters_rep04	43	O
empty_p20_big_clusters_rep04	44	O
empty_p20_big_clusters_rep04	45	O
empty_p20_big_clusters_rep04	46	O
empty_p20_big_clusters_rep04	47	O
empty_p20_big_clusters_rep04	48	O
empty_p20_big_clusters_rep04	49	O
empty_p20_big_clusters_rep04	50	S
empty_p20_big_clusters_rep04	51	S
empty_p20_big_clusters_rep04	52	S
empty_p20_big_clusters_rep04	53	S
empty_p20_big_clusters_rep04	54	S
empty_p20_big_clusters_rep04	55	S
empty_p20_big_clusters_rep04	56	S
empty_p20_big_clusters_rep04	57	S
empty_p20_big_clusters_rep04	58	S
empty_p20_big_clusters_rep04	59	S
empty_p20_big_clusters_rep04	60	S
empty_p20_big_clusters_rep04	61	S
empty_p20_big_clusters_rep04	62	S
empty_p20_big_clusters_rep04	63	S
empty_p20_big_clusters_rep04	64	O
empty_p20_big_clusters_rep04	65	O
empty_p20_big_clusters_rep04	66	O
empty_p20_big_clusters_rep04	67	O
empty_p20_big_clusters_rep04	68	O
empty_p20_big_clusters_rep04	69	O
empty_p20_big_clusters_rep04	70	O
empty_p20_big_clusters_rep04	71	O
empty_p20_big_clusters_rep04	72	O
empty_p20_big_clusters_rep04	73	O
empty_p20_big_clusters_rep04	74	O
empty_p20_big_clusters_rep04	75	S
empty_p20_big_clusters_rep04	76	S
empty_p20_big_clusters_rep04	77	S
empty_p20_big_clusters_rep04	78	S
empty_p20_big_clusters_rep04	79	S
empty_p20_big_clusters_rep04	80	S
empty_p20_big_clusters_rep04	81	S
empty_p20_big_clusters_rep04	82	S
empty_p20_big_clusters_rep04	83	S
empty_p20_big_clusters_rep04	84	S
empty_p20_big_clusters_rep04	85	S
empty_p20_big_clusters_rep04	86	S
empty_p20_big_clusters_rep04	87	S
empty_p20_big_clusters_rep04	88	S
empty_p20_big_clusters_rep04	89	O
empty_p20_big_clusters_rep04	90	O
empty_p20_big_clusters_rep04	91	O
empty_p20_big_clusters_rep04	92	O
empty_p20_big_clusters_rep04	93	O
empty_p20_big_clusters_rep04	94	O
empty_p20_big_clusters_rep04	95	O
empty_p20_big_clusters_rep04	96	O
empty_p20_big_clusters_rep04	97	O
empty_p20_big_clusters_rep04	98	O
empty_p20_big_clusters_rep04	99	O
empty_p20_big_clusters_rep04	100	S
empty_p20_big_clusters_rep04	101	S
empty_p20_big_clusters_rep04	102	S
empty_p20_big_clusters_rep04	103	S
empty_p20_big_clusters_rep04	104	S
empty_p20_big_clusters_rep04	105	S
empty_p20_big_clusters_rep04	106	S
empty_p20_big_clusters_rep04	107	S
empty_p20_big_clusters_rep04	108	S
empty_p20_big_clusters_rep04	109	S
empty_p20_big_clusters_rep04	110	S
empty_p20_big_clusters_rep04	111	S
empty_p20_big_clusters_rep04	112	S
empty_p20_big_clusters_rep04	113	S
empty_p20_big_clusters_rep04	114	S
empty_p20_big_clusters_rep04	115	O
empty_p20_big_clusters_rep04	116	O
empty_p20_big_clusters_rep04	117	O
empty_p20_big_clusters_rep04	118	O
empty_p20_big_clusters_rep04	119	O
empty_p20_big_clusters_rep04	120	O
empty_p20_big_clusters_rep04	121	O
