simulation	patchID	patch_value
empty_p20_dispersed_rep02	1	S
empty_p20_dispersed_rep02	2	S
empty_p20_dispersed_rep02	3	O
empty_p20_dispersed_rep02	4	S
empty_p20_dispersed_rep02	5	O
empty_p20_dispersed_rep02	6	S
empty_p20_dispersed_rep02	7	O
empty_p20_dispersed_rep02	8	S
empty_p20_dispersed_rep02	9	O
empty_p20_dispersed_rep02	10	S
empty_p20_dispersed_rep02	11	S
empty_p20_dispersed_rep02	12	O
empty_p20_dispersed_rep02	13	S
empty_p20_dispersed_rep02	14	S
empty_p20_dispersed_rep02	15	S
empty_p20_dispersed_rep02	16	S
empty_p20_dispersed_rep02	17	O
empty_p20_dispersed_rep02	18	S
empty_p20_dispersed_rep02	19	O
empty_p20_dispersed_rep02	20	S
empty_p20_dispersed_rep02	21	O
empty_p20_dispersed_rep02	22	S
empty_p20_dispersed_rep02	23	S
empty_p20_dispersed_rep02	24	O
empty_p20_dispersed_rep02	25	S
empty_p20_dispersed_rep02	26	O
empty_p20_dispersed_rep02	27	S
empty_p20_dispersed_rep02	28	S
empty_p20_dispersed_rep02	29	S
empty_p20_dispersed_rep02	30	S
empty_p20_dispersed_rep02	31	S
empty_p20_dispersed_rep02	32	S
empty_p20_dispersed_rep02	33	S
empty_p20_dispersed_rep02	34	S
empty_p20_dispersed_rep02	35	S
empty_p20_dispersed_rep02	36	S
empty_p20_dispersed_rep02	37	S
empty_p20_dispersed_rep02	38	S
empty_p20_dispersed_rep02	39	O
empty_p20_dispersed_rep02	40	S
empty_p20_dispersed_rep02	41	S
empty_p20_dispersed_rep02	42	S
empty_p20_dispersed_rep02	43	S
empty_p20_dispersed_rep02	44	S
empty_p20_dispersed_rep02	45	S
empty_p20_dispersed_rep02	46	S
empty_p20_dispersed_rep02	47	S
empty_p20_dispersed_rep02	48	S
empty_p20_dispersed_rep02	49	S
empty_p20_dispersed_rep02	50	S
empty_p20_dispersed_rep02	51	S
empty_p20_dispersed_rep02	52	S
empty_p20_dispersed_rep02	53	S
empty_p20_dispersed_rep02	54	O
empty_p20_dispersed_rep02	55	S
