simulation	patchID	patch_value
empty_p50_small_clusters_rep02	1	S
empty_p50_small_clusters_rep02	2	S
empty_p50_small_clusters_rep02	3	S
empty_p50_small_clusters_rep02	4	S
empty_p50_small_clusters_rep02	5	S
empty_p50_small_clusters_rep02	6	S
empty_p50_small_clusters_rep02	7	O
empty_p50_small_clusters_rep02	8	S
empty_p50_small_clusters_rep02	9	S
empty_p50_small_clusters_rep02	10	S
empty_p50_small_clusters_rep02	11	S
empty_p50_small_clusters_rep02	12	S
empty_p50_small_clusters_rep02	13	S
empty_p50_small_clusters_rep02	14	S
empty_p50_small_clusters_rep02	15	S
empty_p50_small_clusters_rep02	16	S
empty_p50_small_clusters_rep02	17	S
empty_p50_small_clusters_rep02	18	S
empty_p50_small_clusters_rep02	19	S
empty_p50_small_clusters_rep02	20	S
empty_p50_small_clusters_rep02	21	S
empty_p50_small_clusters_rep02	22	S
empty_p50_small_clusters_rep02	23	S
empty_p50_small_clusters_rep02	24	S
empty_p50_small_clusters_rep02	25	O
empty_p50_small_clusters_rep02	26	S
empty_p50_small_clusters_rep02	27	S
empty_p50_small_clusters_rep02	28	S
empty_p50_small_clusters_rep02	29	S
empty_p50_small_clusters_rep02	30	S
empty_p50_small_clusters_rep02	31	S
empty_p50_small_clusters_rep02	32	S
empty_p50_small_clusters_rep02	33	S
empty_p50_small_clusters_rep02	34	S
empty_p50_small_clusters_rep02	35	S
empty_p50_small_clusters_rep02	36	O
empty_p50_small_clusters_rep02	37	S
empty_p50_small_clusters_rep02	38	S
empty_p50_small_clusters_rep02	39	S
empty_p50_small_clusters_rep02	40	S
empty_p50_small_clusters_rep02	41	S
empty_p50_small_clusters_rep02	42	S
empty_p50_small_clusters_rep02	43	S
empty_p50_small_clusters_rep02	44	S
empty_p50_small_clusters_rep02	45	S
empty_p50_small_clusters_rep02	46	S
empty_p50_small_clusters_rep02	47	S
empty_p50_small_clusters_rep02	48	S
empty_p50_small_clusters_rep02	49	S
empty_p50_small_clusters_rep02	50	S
empty_p50_small_clusters_rep02	51	S
empty_p50_small_clusters_rep02	52	S
empty_p50_small_clusters_rep02	53	S
empty_p50_small_clusters_rep02	54	S
empty_p50_small_clusters_rep02	55	S
empty_p50_small_clusters_rep02	56	S
empty_p50_small_clusters_rep02	57	S
empty_p50_small_clusters_rep02	58	O
empty_p50_small_clusters_rep02	59	O
empty_p50_small_clusters_rep02	60	S
empty_p50_small_clusters_rep02	61	S
empty_p50_small_clusters_rep02	62	S
empty_p50_small_clusters_rep02	63	S
empty_p50_small_clusters_rep02	64	S
empty_p50_small_clusters_rep02	65	S
empty_p50_small_clusters_rep02	66	S
empty_p50_small_clusters_rep02	67	S
empty_p50_small_clusters_rep02	68	S
empty_p50_small_clusters_rep02	69	S
empty_p50_small_clusters_rep02	70	S
empty_p50_small_clusters_rep02	71	S
empty_p50_small_clusters_rep02	72	S
empty_p50_small_clusters_rep02	73	S
empty_p50_small_clusters_rep02	74	O
empty_p50_small_clusters_rep02	75	O
empty_p50_small_clusters_rep02	76	S
empty_p50_small_clusters_rep02	77	S
empty_p50_small_clusters_rep02	78	S
