simulation	patchID	patch_value
sc_p50_big_clusters_rep05	1	S
sc_p50_big_clusters_rep05	2	S
sc_p50_big_clusters_rep05	3	S
sc_p50_big_clusters_rep05	4	S
sc_p50_big_clusters_rep05	5	S
sc_p50_big_clusters_rep05	6	S
sc_p50_big_clusters_rep05	7	S
sc_p50_big_clusters_rep05	8	S
sc_p50_big_clusters_rep05	9	S
sc_p50_big_clusters_rep05	10	S
sc_p50_big_clusters_rep05	11	S
sc_p50_big_clusters_rep05	12	S
sc_p50_big_clusters_rep05	13	S
sc_p50_big_clusters_rep05	14	S
sc_p50_big_clusters_rep05	15	S
sc_p50_big_clusters_rep05	16	S
sc_p50_big_clusters_rep05	17	S
sc_p50_big_clusters_rep05	18	S
sc_p50_big_clusters_rep05	19	S
sc_p50_big_clusters_rep05	20	S
sc_p50_big_clusters_rep05	21	S
sc_p50_big_clusters_rep05	22	S
sc_p50_big_clusters_rep05	23	S
sc_p50_big_clusters_rep05	24	S
sc_p50_big_clusters_rep05	25	S
sc_p50_big_clusters_rep05	26	S
sc_p50_big_clusters_rep05	27	S
sc_p50_big_clusters_rep05	28	S
sc_p50_big_clusters_rep05	29	S
sc_p50_big_clusters_rep05	30	S
sc_p50_big_clusters_rep05	31	S
sc_p50_big_clusters_rep05	32	S
sc_p50_big_clusters_rep05	33	S
sc_p50_big_clusters_rep05	34	S
sc_p50_big_clusters_rep05	35	S
sc_p50_big_clusters_rep05	36	S
sc_p50_big_clusters_rep05	37	S
sc_p50_big_clusters_rep05	38	S
sc_p50_big_clusters_rep05	39	S
sc_p50_big_clusters_rep05	40	S
sc_p50_big_clusters_rep05	41	S
sc_p50_big_clusters_rep05	42	S
sc_p50_big_clusters_rep05	43	S
sc_p50_big_clusters_rep05	44	S
sc_p50_big_clusters_rep05	45	S
sc_p50_big_clusters_rep05	46	S
sc_p50_big_clusters_rep05	47	S
sc_p50_big_clusters_rep05	48	S
sc_p50_big_clusters_rep05	49	S
sc_p50_big_clusters_rep05	50	S
sc_p50_big_clusters_rep05	51	S
sc_p50_big_clusters_rep05	52	S
sc_p50_big_clusters_rep05	53	S
sc_p50_big_clusters_rep05	54	S
sc_p50_big_clusters_rep05	55	S
sc_p50_big_clusters_rep05	56	S
sc_p50_big_clusters_rep05	57	S
sc_p50_big_clusters_rep05	58	S
