simulation	patchID	patch_value
sc_p50_dispersed_rep02	1	S
sc_p50_dispersed_rep02	2	S
sc_p50_dispersed_rep02	3	O
sc_p50_dispersed_rep02	4	O
sc_p50_dispersed_rep02	5	S
sc_p50_dispersed_rep02	6	S
sc_p50_dispersed_rep02	7	O
sc_p50_dispersed_rep02	8	S
sc_p50_dispersed_rep02	9	O
sc_p50_dispersed_rep02	10	O
sc_p50_dispersed_rep02	11	O
sc_p50_dispersed_rep02	12	O
sc_p50_dispersed_rep02	13	S
sc_p50_dispersed_rep02	14	O
sc_p50_dispersed_rep02	15	O
sc_p50_dispersed_rep02	16	S
sc_p50_dispersed_rep02	17	S
sc_p50_dispersed_rep02	18	O
sc_p50_dispersed_rep02	19	S
sc_p50_dispersed_rep02	20	O
sc_p50_dispersed_rep02	21	S
sc_p50_dispersed_rep02	22	O
sc_p50_dispersed_rep02	23	S
sc_p50_dispersed_rep02	24	O
sc_p50_dispersed_rep02	25	O
sc_p50_dispersed_rep02	26	S
sc_p50_dispersed_rep02	27	S
sc_p50_dispersed_rep02	28	S
sc_p50_dispersed_rep02	29	O
sc_p50_dispersed_rep02	30	O
sc_p50_dispersed_rep02	31	O
sc_p50_dispersed_rep02	32	S
sc_p50_dispersed_rep02	33	O
sc_p50_dispersed_rep02	34	S
sc_p50_dispersed_rep02	35	O
sc_p50_dispersed_rep02	36	O
sc_p50_dispersed_rep02	37	S
sc_p50_dispersed_rep02	38	S
sc_p50_dispersed_rep02	39	O
sc_p50_dispersed_rep02	40	O
sc_p50_dispersed_rep02	41	O
sc_p50_dispersed_rep02	42	S
sc_p50_dispersed_rep02	43	O
sc_p50_dispersed_rep02	44	O
sc_p50_dispersed_rep02	45	S
sc_p50_dispersed_rep02	46	O
sc_p50_dispersed_rep02	47	S
sc_p50_dispersed_rep02	48	S
sc_p50_dispersed_rep02	49	S
sc_p50_dispersed_rep02	50	O
sc_p50_dispersed_rep02	51	S
sc_p50_dispersed_rep02	52	O
sc_p50_dispersed_rep02	53	S
sc_p50_dispersed_rep02	54	S
sc_p50_dispersed_rep02	55	O
sc_p50_dispersed_rep02	56	S
sc_p50_dispersed_rep02	57	S
sc_p50_dispersed_rep02	58	S
sc_p50_dispersed_rep02	59	S
sc_p50_dispersed_rep02	60	S
sc_p50_dispersed_rep02	61	O
sc_p50_dispersed_rep02	62	S
sc_p50_dispersed_rep02	63	O
sc_p50_dispersed_rep02	64	S
sc_p50_dispersed_rep02	65	S
sc_p50_dispersed_rep02	66	S
sc_p50_dispersed_rep02	67	S
sc_p50_dispersed_rep02	68	S
sc_p50_dispersed_rep02	69	O
sc_p50_dispersed_rep02	70	S
sc_p50_dispersed_rep02	71	S
sc_p50_dispersed_rep02	72	O
sc_p50_dispersed_rep02	73	S
sc_p50_dispersed_rep02	74	O
sc_p50_dispersed_rep02	75	S
sc_p50_dispersed_rep02	76	O
sc_p50_dispersed_rep02	77	O
sc_p50_dispersed_rep02	78	O
sc_p50_dispersed_rep02	79	S
sc_p50_dispersed_rep02	80	S
sc_p50_dispersed_rep02	81	O
sc_p50_dispersed_rep02	82	S
sc_p50_dispersed_rep02	83	S
sc_p50_dispersed_rep02	84	S
sc_p50_dispersed_rep02	85	O
sc_p50_dispersed_rep02	86	S
sc_p50_dispersed_rep02	87	O
sc_p50_dispersed_rep02	88	O
sc_p50_dispersed_rep02	89	S
sc_p50_dispersed_rep02	90	S
sc_p50_dispersed_rep02	91	S
sc_p50_dispersed_rep02	92	O
sc_p50_dispersed_rep02	93	S
sc_p50_dispersed_rep02	94	S
sc_p50_dispersed_rep02	95	S
sc_p50_dispersed_rep02	96	O
sc_p50_dispersed_rep02	97	O
sc_p50_dispersed_rep02	98	O
sc_p50_dispersed_rep02	99	O
sc_p50_dispersed_rep02	100	O
sc_p50_dispersed_rep02	101	O
sc_p50_dispersed_rep02	102	O
sc_p50_dispersed_rep02	103	S
sc_p50_dispersed_rep02	104	O
sc_p50_dispersed_rep02	105	S
sc_p50_dispersed_rep02	106	O
sc_p50_dispersed_rep02	107	O
sc_p50_dispersed_rep02	108	S
sc_p50_dispersed_rep02	109	O
sc_p50_dispersed_rep02	110	O
sc_p50_dispersed_rep02	111	O
sc_p50_dispersed_rep02	112	S
sc_p50_dispersed_rep02	113	O
sc_p50_dispersed_rep02	114	S
sc_p50_dispersed_rep02	115	S
sc_p50_dispersed_rep02	116	O
sc_p50_dispersed_rep02	117	S
sc_p50_dispersed_rep02	118	O
sc_p50_dispersed_rep02	119	O
sc_p50_dispersed_rep02	120	S
sc_p50_dispersed_rep02	121	O
sc_p50_dispersed_rep02	122	O
sc_p50_dispersed_rep02	123	O
sc_p50_dispersed_rep02	124	O
sc_p50_dispersed_rep02	125	O
sc_p50_dispersed_rep02	126	S
sc_p50_dispersed_rep02	127	O
sc_p50_dispersed_rep02	128	S
sc_p50_dispersed_rep02	129	O
sc_p50_dispersed_rep02	130	O
sc_p50_dispersed_rep02	131	O
sc_p50_dispersed_rep02	132	O
sc_p50_dispersed_rep02	133	O
sc_p50_dispersed_rep02	134	O
sc_p50_dispersed_rep02	135	S
sc_p50_dispersed_rep02	136	O
sc_p50_dispersed_rep02	137	S
sc_p50_dispersed_rep02	138	O
sc_p50_dispersed_rep02	139	S
sc_p50_dispersed_rep02	140	S
