simulation	patchID	patch_value
dispersed_p40_r01	1	O
dispersed_p40_r01	2	O
dispersed_p40_r01	3	O
dispersed_p40_r01	4	S
dispersed_p40_r01	5	S
dispersed_p40_r01	6	S
dispersed_p40_r01	7	S
dispersed_p40_r01	8	O
dispersed_p40_r01	9	O
dispersed_p40_r01	10	S
dispersed_p40_r01	11	S
dispersed_p40_r01	12	S
dispersed_p40_r01	13	O
dispersed_p40_r01	14	S
dispersed_p40_r01	15	S
dispersed_p40_r01	16	O
dispersed_p40_r01	17	S
dispersed_p40_r01	18	O
dispersed_p40_r01	19	S
dispersed_p40_r01	20	S
dispersed_p40_r01	21	O
dispersed_p40_r01	22	O
dispersed_p40_r01	23	S
dispersed_p40_r01	24	O
dispersed_p40_r01	25	S
dispersed_p40_r01	26	S
dispersed_p40_r01	27	O
dispersed_p40_r01	28	O
dispersed_p40_r01	29	O
dispersed_p40_r01	30	S
dispersed_p40_r01	31	S
dispersed_p40_r01	32	O
dispersed_p40_r01	33	S
dispersed_p40_r01	34	S
dispersed_p40_r01	35	S
dispersed_p40_r01	36	S
dispersed_p40_r01	37	S
dispersed_p40_r01	38	S
dispersed_p40_r01	39	O
dispersed_p40_r01	40	S
dispersed_p40_r01	41	O
dispersed_p40_r01	42	O
dispersed_p40_r01	43	O
dispersed_p40_r01	44	S
dispersed_p40_r01	45	S
dispersed_p40_r01	46	O
dispersed_p40_r01	47	O
dispersed_p40_r01	48	O
dispersed_p40_r01	49	O
dispersed_p40_r01	50	S
dispersed_p40_r01	51	O
dispersed_p40_r01	52	O
dispersed_p40_r01	53	O
dispersed_p40_r01	54	S
dispersed_p40_r01	55	S
dispersed_p40_r01	56	S
dispersed_p40_r01	57	S
dispersed_p40_r01	58	O
dispersed_p40_r01	59	O
dispersed_p40_r01	60	S
dispersed_p40_r01	61	O
dispersed_p40_r01	62	S
dispersed_p40_r01	63	O
dispersed_p40_r01	64	S
dispersed_p40_r01	65	S
dispersed_p40_r01	66	O
dispersed_p40_r01	67	S
dispersed_p40_r01	68	S
dispersed_p40_r01	69	S
dispersed_p40_r01	70	S
dispersed_p40_r01	71	S
dispersed_p40_r01	72	S
dispersed_p40_r01	73	O
dispersed_p40_r01	74	S
dispersed_p40_r01	75	S
dispersed_p40_r01	76	S
dispersed_p40_r01	77	S
dispersed_p40_r01	78	S
dispersed_p40_r01	79	O
dispersed_p40_r01	80	O
dispersed_p40_r01	81	S
dispersed_p40_r01	82	O
dispersed_p40_r01	83	S
dispersed_p40_r01	84	S
dispersed_p40_r01	85	S
dispersed_p40_r01	86	O
dispersed_p40_r01	87	O
dispersed_p40_r01	88	S
dispersed_p40_r01	89	O
dispersed_p40_r01	90	S
dispersed_p40_r01	91	S
dispersed_p40_r01	92	O
dispersed_p40_r01	93	S
dispersed_p40_r01	94	S
dispersed_p40_r01	95	S
dispersed_p40_r01	96	S
dispersed_p40_r01	97	S
dispersed_p40_r01	98	O
dispersed_p40_r01	99	S
dispersed_p40_r01	100	S
dispersed_p40_r01	101	S
dispersed_p40_r01	102	O
dispersed_p40_r01	103	O
dispersed_p40_r01	104	O
dispersed_p40_r01	105	O
dispersed_p40_r01	106	S
dispersed_p40_r01	107	O
dispersed_p40_r01	108	O
dispersed_p40_r01	109	S
dispersed_p40_r01	110	O
dispersed_p40_r01	111	S
dispersed_p40_r01	112	O
dispersed_p40_r01	113	O
dispersed_p40_r01	114	S
dispersed_p40_r01	115	O
dispersed_p40_r01	116	O
dispersed_p40_r01	117	O
dispersed_p40_r01	118	S
dispersed_p40_r01	119	O
dispersed_p40_r01	120	S
dispersed_p40_r01	121	S
dispersed_p40_r01	122	S
dispersed_p40_r01	123	O
dispersed_p40_r01	124	O
dispersed_p40_r01	125	O
dispersed_p40_r01	126	S
dispersed_p40_r01	127	S
