simulation	patchID	patch_value
multi_cluster_p40_r04	1	S
multi_cluster_p40_r04	2	S
multi_cluster_p40_r04	3	S
multi_cluster_p40_r04	4	S
multi_cluster_p40_r04	5	S
multi_cluster_p40_r04	6	S
multi_cluster_p40_r04	7	S
multi_cluster_p40_r04	8	S
multi_cluster_p40_r04	9	S
multi_cluster_p40_r04	10	S
multi_cluster_p40_r04	11	S
multi_cluster_p40_r04	12	S
multi_cluster_p40_r04	13	S
multi_cluster_p40_r04	14	S
multi_cluster_p40_r04	15	S
multi_cluster_p40_r04	16	S
multi_cluster_p40_r04	17	S
multi_cluster_p40_r04	18	S
multi_cluster_p40_r04	19	S
multi_cluster_p40_r04	20	S
multi_cluster_p40_r04	21	S
multi_cluster_p40_r04	22	S
multi_cluster_p40_r04	23	S
multi_cluster_p40_r04	24	S
multi_cluster_p40_r04	25	S
multi_cluster_p40_r04	26	S
multi_cluster_p40_r04	27	S
multi_cluster_p40_r04	28	S
multi_cluster_p40_r04	29	S
multi_cluster_p40_r04	30	S
multi_cluster_p40_r04	31	S
multi_cluster_p40_r04	32	S
multi_cluster_p40_r04	33	S
multi_cluster_p40_r04	34	S
multi_cluster_p40_r04	35	S
multi_cluster_p40_r04	36	S
multi_cluster_p40_r04	37	S
multi_cluster_p40_r04	38	S
multi_cluster_p40_r04	39	S
multi_cluster_p40_r04	40	S
multi_cluster_p40_r04	41	S
multi_cluster_p40_r04	42	S
multi_cluster_p40_r04	43	S
multi_cluster_p40_r04	44	O
multi_cluster_p40_r04	45	O
multi_cluster_p40_r04	46	O
multi_cluster_p40_r04	47	O
multi_cluster_p40_r04	48	S
multi_cluster_p40_r04	49	S
multi_cluster_p40_r04	50	S
multi_cluster_p40_r04	51	S
multi_cluster_p40_r04	52	S
multi_cluster_p40_r04	53	S
multi_cluster_p40_r04	54	S
multi_cluster_p40_r04	55	O
multi_cluster_p40_r04	56	S
multi_cluster_p40_r04	57	S
multi_cluster_p40_r04	58	O
multi_cluster_p40_r04	59	S
multi_cluster_p40_r04	60	S
multi_cluster_p40_r04	61	O
multi_cluster_p40_r04	62	O
multi_cluster_p40_r04	63	S
multi_cluster_p40_r04	64	S
multi_cluster_p40_r04	65	O
multi_cluster_p40_r04	66	O
multi_cluster_p40_r04	67	O
multi_cluster_p40_r04	68	O
multi_cluster_p40_r04	69	O
multi_cluster_p40_r04	70	O
multi_cluster_p40_r04	71	O
multi_cluster_p40_r04	72	S
multi_cluster_p40_r04	73	S
multi_cluster_p40_r04	74	S
multi_cluster_p40_r04	75	S
multi_cluster_p40_r04	76	S
multi_cluster_p40_r04	77	S
multi_cluster_p40_r04	78	S
multi_cluster_p40_r04	79	S
multi_cluster_p40_r04	80	O
multi_cluster_p40_r04	81	O
multi_cluster_p40_r04	82	O
multi_cluster_p40_r04	83	O
multi_cluster_p40_r04	84	O
multi_cluster_p40_r04	85	O
multi_cluster_p40_r04	86	O
multi_cluster_p40_r04	87	S
multi_cluster_p40_r04	88	S
multi_cluster_p40_r04	89	S
multi_cluster_p40_r04	90	O
multi_cluster_p40_r04	91	O
multi_cluster_p40_r04	92	O
multi_cluster_p40_r04	93	O
multi_cluster_p40_r04	94	O
multi_cluster_p40_r04	95	O
multi_cluster_p40_r04	96	O
multi_cluster_p40_r04	97	S
multi_cluster_p40_r04	98	S
multi_cluster_p40_r04	99	S
multi_cluster_p40_r04	100	S
multi_cluster_p40_r04	101	S
multi_cluster_p40_r04	102	S
multi_cluster_p40_r04	103	S
multi_cluster_p40_r04	104	O
multi_cluster_p40_r04	105	O
multi_cluster_p40_r04	106	O
multi_cluster_p40_r04	107	O
multi_cluster_p40_r04	108	O
multi_cluster_p40_r04	109	O
multi_cluster_p40_r04	110	O
multi_cluster_p40_r04	111	O
multi_cluster_p40_r04	112	S
multi_cluster_p40_r04	113	S
multi_cluster_p40_r04	114	S
multi_cluster_p40_r04	115	O
multi_cluster_p40_r04	116	O
multi_cluster_p40_r04	117	O
multi_cluster_p40_r04	118	O
multi_cluster_p40_r04	119	O
multi_cluster_p40_r04	120	O
multi_cluster_p40_r04	121	O
multi_cluster_p40_r04	122	O
multi_cluster_p40_r04	123	S
multi_cluster_p40_r04	124	S
multi_cluster_p40_r04	125	S
multi_cluster_p40_r04	126	S
multi_cluster_p40_r04	127	S
multi_cluster_p40_r04	128	S
multi_cluster_p40_r04	129	O
multi_cluster_p40_r04	130	O
multi_cluster_p40_r04	131	O
multi_cluster_p40_r04	132	O
multi_cluster_p40_r04	133	O
multi_cluster_p40_r04	134	O
multi_cluster_p40_r04	135	O
multi_cluster_p40_r04	136	O
multi_cluster_p40_r04	137	S
multi_cluster_p40_r04	138	S
multi_cluster_p40_r04	139	O
multi_cluster_p40_r04	140	O
multi_cluster_p40_r04	141	O
multi_cluster_p40_r04	142	O
multi_cluster_p40_r04	143	O
multi_cluster_p40_r04	144	O
multi_cluster_p40_r04	145	O
multi_cluster_p40_r04	146	O
multi_cluster_p40_r04	147	S
multi_cluster_p40_r04	148	S
multi_cluster_p40_r04	149	S
multi_cluster_p40_r04	150	S
multi_cluster_p40_r04	151	S
multi_cluster_p40_r04	152	S
multi_cluster_p40_r04	153	S
multi_cluster_p40_r04	154	S
multi_cluster_p40_r04	155	O
multi_cluster_p40_r04	156	O
multi_cluster_p40_r04	157	O
multi_cluster_p40_r04	158	O
multi_cluster_p40_r04	159	O
multi_cluster_p40_r04	160	O
multi_cluster_p40_r04	161	O
multi_cluster_p40_r04	162	S
multi_cluster_p40_r04	163	S
multi_cluster_p40_r04	164	S
multi_cluster_p40_r04	165	O
multi_cluster_p40_r04	166	O
multi_cluster_p40_r04	167	O
multi_cluster_p40_r04	168	O
multi_cluster_p40_r04	169	O
multi_cluster_p40_r04	170	O
multi_cluster_p40_r04	171	O
multi_cluster_p40_r04	172	O
multi_cluster_p40_r04	173	S
multi_cluster_p40_r04	174	S
multi_cluster_p40_r04	175	S
multi_cluster_p40_r04	176	S
multi_cluster_p40_r04	177	S
multi_cluster_p40_r04	178	S
multi_cluster_p40_r04	179	O
multi_cluster_p40_r04	180	O
multi_cluster_p40_r04	181	O
multi_cluster_p40_r04	182	O
multi_cluster_p40_r04	183	O
multi_cluster_p40_r04	184	O
multi_cluster_p40_r04	185	O
multi_cluster_p40_r04	186	O
multi_cluster_p40_r04	187	O
multi_cluster_p40_r04	188	S
multi_cluster_p40_r04	189	O
multi_cluster_p40_r04	190	O
multi_cluster_p40_r04	191	O
multi_cluster_p40_r04	192	O
multi_cluster_p40_r04	193	O
multi_cluster_p40_r04	194	O
multi_cluster_p40_r04	195	O
multi_cluster_p40_r04	196	O
multi_cluster_p40_r04	197	S
multi_cluster_p40_r04	198	S
multi_cluster_p40_r04	199	S
multi_cluster_p40_r04	200	S
multi_cluster_p40_r04	201	S
multi_cluster_p40_r04	202	S
multi_cluster_p40_r04	203	S
multi_cluster_p40_r04	204	S
multi_cluster_p40_r04	205	O
multi_cluster_p40_r04	206	O
multi_cluster_p40_r04	207	O
multi_cluster_p40_r04	208	O
multi_cluster_p40_r04	209	O
