simulation	patchID	patch_value
one_cluster_p40_r01	1	S
one_cluster_p40_r01	2	S
one_cluster_p40_r01	3	S
one_cluster_p40_r01	4	S
one_cluster_p40_r01	5	S
one_cluster_p40_r01	6	S
one_cluster_p40_r01	7	S
one_cluster_p40_r01	8	S
one_cluster_p40_r01	9	S
one_cluster_p40_r01	10	S
one_cluster_p40_r01	11	S
one_cluster_p40_r01	12	S
one_cluster_p40_r01	13	S
one_cluster_p40_r01	14	S
one_cluster_p40_r01	15	S
one_cluster_p40_r01	16	S
one_cluster_p40_r01	17	S
one_cluster_p40_r01	18	S
one_cluster_p40_r01	19	S
one_cluster_p40_r01	20	S
one_cluster_p40_r01	21	S
one_cluster_p40_r01	22	S
one_cluster_p40_r01	23	S
one_cluster_p40_r01	24	S
one_cluster_p40_r01	25	S
one_cluster_p40_r01	26	S
one_cluster_p40_r01	27	S
one_cluster_p40_r01	28	S
one_cluster_p40_r01	29	S
one_cluster_p40_r01	30	S
one_cluster_p40_r01	31	S
one_cluster_p40_r01	32	S
one_cluster_p40_r01	33	S
one_cluster_p40_r01	34	S
one_cluster_p40_r01	35	S
one_cluster_p40_r01	36	S
one_cluster_p40_r01	37	S
one_cluster_p40_r01	38	S
one_cluster_p40_r01	39	S
one_cluster_p40_r01	40	S
one_cluster_p40_r01	41	S
one_cluster_p40_r01	42	S
one_cluster_p40_r01	43	S
one_cluster_p40_r01	44	S
one_cluster_p40_r01	45	S
one_cluster_p40_r01	46	S
one_cluster_p40_r01	47	S
one_cluster_p40_r01	48	S
one_cluster_p40_r01	49	S
one_cluster_p40_r01	50	S
one_cluster_p40_r01	51	S
one_cluster_p40_r01	52	S
one_cluster_p40_r01	53	S
one_cluster_p40_r01	54	S
one_cluster_p40_r01	55	S
one_cluster_p40_r01	56	S
one_cluster_p40_r01	57	S
one_cluster_p40_r01	58	S
one_cluster_p40_r01	59	S
one_cluster_p40_r01	60	S
one_cluster_p40_r01	61	S
one_cluster_p40_r01	62	S
one_cluster_p40_r01	63	S
one_cluster_p40_r01	64	S
one_cluster_p40_r01	65	S
one_cluster_p40_r01	66	S
one_cluster_p40_r01	67	S
one_cluster_p40_r01	68	S
one_cluster_p40_r01	69	S
one_cluster_p40_r01	70	S
one_cluster_p40_r01	71	S
one_cluster_p40_r01	72	S
one_cluster_p40_r01	73	S
one_cluster_p40_r01	74	S
one_cluster_p40_r01	75	S
one_cluster_p40_r01	76	S
one_cluster_p40_r01	77	S
one_cluster_p40_r01	78	S
one_cluster_p40_r01	79	S
one_cluster_p40_r01	80	S
one_cluster_p40_r01	81	O
one_cluster_p40_r01	82	S
one_cluster_p40_r01	83	O
one_cluster_p40_r01	84	O
one_cluster_p40_r01	85	O
one_cluster_p40_r01	86	O
one_cluster_p40_r01	87	S
one_cluster_p40_r01	88	O
one_cluster_p40_r01	89	S
one_cluster_p40_r01	90	S
one_cluster_p40_r01	91	O
one_cluster_p40_r01	92	S
one_cluster_p40_r01	93	O
one_cluster_p40_r01	94	S
one_cluster_p40_r01	95	S
one_cluster_p40_r01	96	S
one_cluster_p40_r01	97	S
one_cluster_p40_r01	98	S
one_cluster_p40_r01	99	S
one_cluster_p40_r01	100	S
one_cluster_p40_r01	101	S
one_cluster_p40_r01	102	S
one_cluster_p40_r01	103	S
one_cluster_p40_r01	104	S
one_cluster_p40_r01	105	S
one_cluster_p40_r01	106	O
one_cluster_p40_r01	107	O
one_cluster_p40_r01	108	O
one_cluster_p40_r01	109	O
one_cluster_p40_r01	110	O
one_cluster_p40_r01	111	O
one_cluster_p40_r01	112	O
one_cluster_p40_r01	113	O
one_cluster_p40_r01	114	O
one_cluster_p40_r01	115	O
one_cluster_p40_r01	116	O
one_cluster_p40_r01	117	O
one_cluster_p40_r01	118	O
one_cluster_p40_r01	119	O
one_cluster_p40_r01	120	O
one_cluster_p40_r01	121	O
one_cluster_p40_r01	122	S
one_cluster_p40_r01	123	S
one_cluster_p40_r01	124	S
one_cluster_p40_r01	125	S
one_cluster_p40_r01	126	S
one_cluster_p40_r01	127	S
one_cluster_p40_r01	128	S
one_cluster_p40_r01	129	S
one_cluster_p40_r01	130	S
one_cluster_p40_r01	131	O
one_cluster_p40_r01	132	O
one_cluster_p40_r01	133	O
one_cluster_p40_r01	134	O
one_cluster_p40_r01	135	O
one_cluster_p40_r01	136	O
one_cluster_p40_r01	137	O
one_cluster_p40_r01	138	O
one_cluster_p40_r01	139	O
one_cluster_p40_r01	140	O
one_cluster_p40_r01	141	O
one_cluster_p40_r01	142	O
one_cluster_p40_r01	143	O
one_cluster_p40_r01	144	O
one_cluster_p40_r01	145	O
one_cluster_p40_r01	146	O
one_cluster_p40_r01	147	S
one_cluster_p40_r01	148	S
one_cluster_p40_r01	149	S
one_cluster_p40_r01	150	S
one_cluster_p40_r01	151	S
one_cluster_p40_r01	152	S
one_cluster_p40_r01	153	S
one_cluster_p40_r01	154	S
one_cluster_p40_r01	155	O
one_cluster_p40_r01	156	O
one_cluster_p40_r01	157	O
one_cluster_p40_r01	158	O
one_cluster_p40_r01	159	O
one_cluster_p40_r01	160	O
one_cluster_p40_r01	161	O
one_cluster_p40_r01	162	O
one_cluster_p40_r01	163	O
one_cluster_p40_r01	164	O
one_cluster_p40_r01	165	O
one_cluster_p40_r01	166	O
one_cluster_p40_r01	167	O
one_cluster_p40_r01	168	O
one_cluster_p40_r01	169	O
one_cluster_p40_r01	170	O
one_cluster_p40_r01	171	S
one_cluster_p40_r01	172	S
one_cluster_p40_r01	173	S
one_cluster_p40_r01	174	S
one_cluster_p40_r01	175	S
one_cluster_p40_r01	176	S
one_cluster_p40_r01	177	S
one_cluster_p40_r01	178	S
one_cluster_p40_r01	179	S
one_cluster_p40_r01	180	S
one_cluster_p40_r01	181	O
one_cluster_p40_r01	182	O
one_cluster_p40_r01	183	O
one_cluster_p40_r01	184	O
one_cluster_p40_r01	185	O
one_cluster_p40_r01	186	O
one_cluster_p40_r01	187	O
one_cluster_p40_r01	188	O
one_cluster_p40_r01	189	O
one_cluster_p40_r01	190	O
one_cluster_p40_r01	191	O
one_cluster_p40_r01	192	O
one_cluster_p40_r01	193	O
one_cluster_p40_r01	194	O
one_cluster_p40_r01	195	O
one_cluster_p40_r01	196	S
one_cluster_p40_r01	197	S
one_cluster_p40_r01	198	S
one_cluster_p40_r01	199	S
one_cluster_p40_r01	200	S
one_cluster_p40_r01	201	S
one_cluster_p40_r01	202	S
one_cluster_p40_r01	203	S
one_cluster_p40_r01	204	S
one_cluster_p40_r01	205	S
one_cluster_p40_r01	206	O
one_cluster_p40_r01	207	O
one_cluster_p40_r01	208	O
one_cluster_p40_r01	209	O
one_cluster_p40_r01	210	O
one_cluster_p40_r01	211	O
one_cluster_p40_r01	212	O
one_cluster_p40_r01	213	O
one_cluster_p40_r01	214	O
one_cluster_p40_r01	215	O
one_cluster_p40_r01	216	O
one_cluster_p40_r01	217	O
one_cluster_p40_r01	218	O
one_cluster_p40_r01	219	O
one_cluster_p40_r01	220	O
one_cluster_p40_r01	221	S
one_cluster_p40_r01	222	S
one_cluster_p40_r01	223	S
one_cluster_p40_r01	224	S
one_cluster_p40_r01	225	S
one_cluster_p40_r01	226	S
one_cluster_p40_r01	227	S
one_cluster_p40_r01	228	S
one_cluster_p40_r01	229	S
one_cluster_p40_r01	230	O
one_cluster_p40_r01	231	O
one_cluster_p40_r01	232	O
one_cluster_p40_r01	233	O
one_cluster_p40_r01	234	O
one_cluster_p40_r01	235	O
one_cluster_p40_r01	236	O
one_cluster_p40_r01	237	O
one_cluster_p40_r01	238	O
one_cluster_p40_r01	239	O
one_cluster_p40_r01	240	O
one_cluster_p40_r01	241	O
one_cluster_p40_r01	242	O
one_cluster_p40_r01	243	O
one_cluster_p40_r01	244	O
one_cluster_p40_r01	245	O
one_cluster_p40_r01	246	S
one_cluster_p40_r01	247	S
one_cluster_p40_r01	248	S
one_cluster_p40_r01	249	S
one_cluster_p40_r01	250	S
one_cluster_p40_r01	251	S
one_cluster_p40_r01	252	S
one_cluster_p40_r01	253	S
one_cluster_p40_r01	254	S
one_cluster_p40_r01	255	S
one_cluster_p40_r01	256	O
one_cluster_p40_r01	257	O
one_cluster_p40_r01	258	O
one_cluster_p40_r01	259	O
one_cluster_p40_r01	260	O
one_cluster_p40_r01	261	O
one_cluster_p40_r01	262	O
one_cluster_p40_r01	263	O
one_cluster_p40_r01	264	O
one_cluster_p40_r01	265	O
one_cluster_p40_r01	266	O
one_cluster_p40_r01	267	O
one_cluster_p40_r01	268	O
one_cluster_p40_r01	269	O
one_cluster_p40_r01	270	O
one_cluster_p40_r01	271	O
one_cluster_p40_r01	272	S
one_cluster_p40_r01	273	S
one_cluster_p40_r01	274	S
one_cluster_p40_r01	275	S
one_cluster_p40_r01	276	S
one_cluster_p40_r01	277	S
one_cluster_p40_r01	278	S
one_cluster_p40_r01	279	S
one_cluster_p40_r01	280	S
one_cluster_p40_r01	281	O
one_cluster_p40_r01	282	O
one_cluster_p40_r01	283	O
one_cluster_p40_r01	284	O
one_cluster_p40_r01	285	O
one_cluster_p40_r01	286	O
one_cluster_p40_r01	287	O
one_cluster_p40_r01	288	O
one_cluster_p40_r01	289	O
one_cluster_p40_r01	290	O
one_cluster_p40_r01	291	O
one_cluster_p40_r01	292	O
one_cluster_p40_r01	293	O
one_cluster_p40_r01	294	O
one_cluster_p40_r01	295	O
one_cluster_p40_r01	296	S
one_cluster_p40_r01	297	S
one_cluster_p40_r01	298	S
one_cluster_p40_r01	299	S
one_cluster_p40_r01	300	S
one_cluster_p40_r01	301	S
one_cluster_p40_r01	302	S
one_cluster_p40_r01	303	S
one_cluster_p40_r01	304	S
one_cluster_p40_r01	305	S
one_cluster_p40_r01	306	O
one_cluster_p40_r01	307	O
one_cluster_p40_r01	308	O
one_cluster_p40_r01	309	O
one_cluster_p40_r01	310	O
one_cluster_p40_r01	311	O
one_cluster_p40_r01	312	O
one_cluster_p40_r01	313	O
one_cluster_p40_r01	314	O
one_cluster_p40_r01	315	O
one_cluster_p40_r01	316	O
one_cluster_p40_r01	317	O
one_cluster_p40_r01	318	O
one_cluster_p40_r01	319	O
one_cluster_p40_r01	320	O
one_cluster_p40_r01	321	S
one_cluster_p40_r01	322	S
one_cluster_p40_r01	323	S
one_cluster_p40_r01	324	S
one_cluster_p40_r01	325	S
one_cluster_p40_r01	326	S
one_cluster_p40_r01	327	S
one_cluster_p40_r01	328	S
one_cluster_p40_r01	329	S
one_cluster_p40_r01	330	S
one_cluster_p40_r01	331	O
one_cluster_p40_r01	332	O
one_cluster_p40_r01	333	O
one_cluster_p40_r01	334	O
one_cluster_p40_r01	335	O
one_cluster_p40_r01	336	O
one_cluster_p40_r01	337	O
one_cluster_p40_r01	338	O
one_cluster_p40_r01	339	O
one_cluster_p40_r01	340	O
one_cluster_p40_r01	341	O
one_cluster_p40_r01	342	O
one_cluster_p40_r01	343	O
one_cluster_p40_r01	344	O
one_cluster_p40_r01	345	O
one_cluster_p40_r01	346	S
one_cluster_p40_r01	347	S
one_cluster_p40_r01	348	S
one_cluster_p40_r01	349	S
one_cluster_p40_r01	350	S
one_cluster_p40_r01	351	S
one_cluster_p40_r01	352	S
one_cluster_p40_r01	353	S
one_cluster_p40_r01	354	S
one_cluster_p40_r01	355	O
one_cluster_p40_r01	356	O
one_cluster_p40_r01	357	O
one_cluster_p40_r01	358	O
one_cluster_p40_r01	359	O
one_cluster_p40_r01	360	O
one_cluster_p40_r01	361	O
one_cluster_p40_r01	362	O
one_cluster_p40_r01	363	O
one_cluster_p40_r01	364	O
one_cluster_p40_r01	365	O
one_cluster_p40_r01	366	O
one_cluster_p40_r01	367	O
