simulation	patchID	patch_value
transects_p10_r02	1	S
transects_p10_r02	2	S
transects_p10_r02	3	S
transects_p10_r02	4	S
transects_p10_r02	5	S
transects_p10_r02	6	O
transects_p10_r02	7	S
transects_p10_r02	8	S
transects_p10_r02	9	S
transects_p10_r02	10	S
transects_p10_r02	11	S
transects_p10_r02	12	S
transects_p10_r02	13	S
transects_p10_r02	14	S
transects_p10_r02	15	O
transects_p10_r02	16	S
transects_p10_r02	17	S
transects_p10_r02	18	S
transects_p10_r02	19	S
transects_p10_r02	20	S
transects_p10_r02	21	S
transects_p10_r02	22	O
transects_p10_r02	23	S
transects_p10_r02	24	S
transects_p10_r02	25	S
transects_p10_r02	26	S
transects_p10_r02	27	S
transects_p10_r02	28	S
transects_p10_r02	29	S
transects_p10_r02	30	S
transects_p10_r02	31	O
transects_p10_r02	32	S
transects_p10_r02	33	S
transects_p10_r02	34	S
transects_p10_r02	35	S
transects_p10_r02	36	S
transects_p10_r02	37	S
transects_p10_r02	38	S
transects_p10_r02	39	S
transects_p10_r02	40	O
transects_p10_r02	41	S
transects_p10_r02	42	S
transects_p10_r02	43	S
transects_p10_r02	44	S
transects_p10_r02	45	S
transects_p10_r02	46	S
transects_p10_r02	47	O
transects_p10_r02	48	S
transects_p10_r02	49	S
transects_p10_r02	50	S
transects_p10_r02	51	S
transects_p10_r02	52	S
transects_p10_r02	53	S
transects_p10_r02	54	S
transects_p10_r02	55	S
transects_p10_r02	56	O
transects_p10_r02	57	S
transects_p10_r02	58	S
transects_p10_r02	59	S
transects_p10_r02	60	S
transects_p10_r02	61	S
transects_p10_r02	62	S
transects_p10_r02	63	S
transects_p10_r02	64	S
transects_p10_r02	65	O
transects_p10_r02	66	S
transects_p10_r02	67	S
transects_p10_r02	68	S
transects_p10_r02	69	S
transects_p10_r02	70	S
transects_p10_r02	71	S
transects_p10_r02	72	O
transects_p10_r02	73	S
transects_p10_r02	74	S
transects_p10_r02	75	S
transects_p10_r02	76	S
transects_p10_r02	77	S
transects_p10_r02	78	S
transects_p10_r02	79	S
transects_p10_r02	80	S
transects_p10_r02	81	O
transects_p10_r02	82	S
transects_p10_r02	83	S
transects_p10_r02	84	S
transects_p10_r02	85	S
transects_p10_r02	86	S
transects_p10_r02	87	S
transects_p10_r02	88	S
transects_p10_r02	89	S
transects_p10_r02	90	O
transects_p10_r02	91	S
transects_p10_r02	92	S
transects_p10_r02	93	S
transects_p10_r02	94	S
transects_p10_r02	95	S
transects_p10_r02	96	S
transects_p10_r02	97	O
transects_p10_r02	98	S
transects_p10_r02	99	S
transects_p10_r02	100	S
transects_p10_r02	101	S
transects_p10_r02	102	S
transects_p10_r02	103	S
transects_p10_r02	104	S
transects_p10_r02	105	S
transects_p10_r02	106	O
transects_p10_r02	107	S
transects_p10_r02	108	S
transects_p10_r02	109	S
transects_p10_r02	110	S
