sim_name,configuration,prop_orientalis,run_id,syl_stage0,syl_stage1,syl_stage2,syl_stage3,ori_stage0,ori_stage1,ori_stage2,ori_stage3
dispersed_p10_r01,dispersed,0.1,1,1410,644,529,47,0,1240,0,0
dispersed_p10_r02,dispersed,0.1,2,1410,644,529,47,0,1240,0,0
dispersed_p10_r03,dispersed,0.1,3,1410,644,529,47,0,1240,0,0
dispersed_p10_r04,dispersed,0.1,4,1410,644,529,47,0,1240,0,0
dispersed_p10_r05,dispersed,0.1,5,1410,644,529,47,0,1240,0,0
one_cluster_p10_r01,one_cluster,0.1,1,1410,644,529,47,0,1240,0,0
one_cluster_p10_r02,one_cluster,0.1,2,1410,644,529,47,0,1240,0,0
one_cluster_p10_r03,one_cluster,0.1,3,1410,644,529,47,0,1240,0,0
one_cluster_p10_r04,one_cluster,0.1,4,1410,644,529,47,0,1240,0,0
one_cluster_p10_r05,one_cluster,0.1,5,1410,644,529,47,0,1240,0,0
multi_cluster_p10_r01,multi_cluster,0.1,1,1410,644,529,47,0,1240,0,0
multi_cluster_p10_r02,multi_cluster,0.1,2,1410,644,529,47,0,1240,0,0
multi_cluster_p10_r03,multi_cluster,0.1,3,1410,644,529,47,0,1240,0,0
multi_cluster_p10_r04,multi_cluster,0.1,4,1410,644,529,47,0,1240,0,0
multi_cluster_p10_r05,multi_cluster,0.1,5,1410,644,529,47,0,1240,0,0
transects_p10_r01,transects,0.1,1,1410,644,529,47,0,1240,0,0
transects_p10_r02,transects,0.1,2,1410,644,529,47,0,1240,0,0
transects_p10_r03,transects,0.1,3,1410,644,529,47,0,1240,0,0
transects_p10_r04,transects,0.1,4,1410,644,529,47,0,1240,0,0
transects_p10_r05,transects,0.1,5,1410,644,529,47,0,1240,0,0
dispersed_p25_r01,dispersed,0.25,1,1410,644,529,47,0,3120,0,0
dispersed_p25_r02,dispersed,0.25,2,1410,644,529,47,0,3120,0,0
dispersed_p25_r03,dispersed,0.25,3,1410,644,529,47,0,3120,0,0
dispersed_p25_r04,dispersed,0.25,4,1410,644,529,47,0,3120,0,0
dispersed_p25_r05,dispersed,0.25,5,1410,644,529,47,0,3120,0,0
one_cluster_p25_r01,one_cluster,0.25,1,1410,644,529,47,0,3120,0,0
one_cluster_p25_r02,one_cluster,0.25,2,1410,644,529,47,0,3120,0,0
one_cluster_p25_r03,one_cluster,0.25,3,1410,644,529,47,0,3120,0,0
one_cluster_p25_r04,one_cluster,0.25,4,1410,644,529,47,0,3120,0,0
one_cluster_p25_r05,one_cluster,0.25,5,1410,644,529,47,0,3120,0,0
multi_cluster_p25_r01,multi_cluster,0.25,1,1410,644,529,47,0,3120,0,0
multi_cluster_p25_r02,multi_cluster,0.25,2,1410,644,529,47,0,3120,0,0
multi_cluster_p25_r03,multi_cluster,0.25,3,1410,644,529,47,0,3120,0,0
multi_cluster_p25_r04,multi_cluster,0.25,4,1410,644,529,47,0,3120,0,0
multi_cluster_p25_r05,multi_cluster,0.25,5,1410,644,529,47,0,3120,0,0
transects_p25_r01,transects,0.25,1,1410,644,529,47,0,3120,0,0
transects_p25_r02,transects,0.25,2,1410,644,529,47,0,3120,0,0
transects_p25_r03,transects,0.25,3,1410,644,529,47,0,3120,0,0
transects_p25_r04,transects,0.25,4,1410,644,529,47,0,3120,0,0
transects_p25_r05,transects,0.25,5,1410,644,529,47,0,3120,0,0
dispersed_p40_r01,dispersed,0.4,1,1410,644,529,47,0,5000,0,0
dispersed_p40_r02,dispersed,0.4,2,1410,644,529,47,0,5000,0,0
dispersed_p40_r03,dispersed,0.4,3,1410,644,529,47,0,5000,0,0
dispersed_p40_r04,dispersed,0.4,4,1410,644,529,47,0,5000,0,0
dispersed_p40_r05,dispersed,0.4,5,1410,644,529,47,0,5000,0,0
one_cluster_p40_r01,one_cluster,0.4,1,1410,644,529,47,0,5000,0,0
one_cluster_p40_r02,one_cluster,0.4,2,1410,644,529,47,0,5000,0,0
one_cluster_p40_r03,one_cluster,0.4,3,1410,644,529,47,0,5000,0,0
one_cluster_p40_r04,one_cluster,0.4,4,1410,644,529,47,0,5000,0,0
one_cluster_p40_r05,one_cluster,0.4,5,1410,644,529,47,0,5000,0,0
multi_cluster_p40_r01,multi_cluster,0.4,1,1410,644,529,47,0,5000,0,0
multi_cluster_p40_r02,multi_cluster,0.4,2,1410,644,529,47,0,5000,0,0
multi_cluster_p40_r03,multi_cluster,0.4,3,1410,644,529,47,0,5000,0,0
multi_cluster_p40_r04,multi_cluster,0.4,4,1410,644,529,47,0,5000,0,0
multi_cluster_p40_r05,multi_cluster,0.4,5,1410,644,529,47,0,5000,0,0
transects_p40_r01,transects,0.4,1,1410,644,529,47,0,5000,0,0
transects_p40_r02,transects,0.4,2,1410,644,529,47,0,5000,0,0
transects_p40_r03,transects,0.4,3,1410,644,529,47,0,5000,0,0
transects_p40_r04,transects,0.4,4,1410,644,529,47,0,5000,0,0
transects_p40_r05,transects,0.4,5,1410,644,529,47,0,5000,0,0
