simulation	patchID	patch_value
empty_p20_big_clusters_rep01	1	S
empty_p20_big_clusters_rep01	2	S
empty_p20_big_clusters_rep01	3	S
empty_p20_big_clusters_rep01	4	S
empty_p20_big_clusters_rep01	5	S
empty_p20_big_clusters_rep01	6	S
empty_p20_big_clusters_rep01	7	S
empty_p20_big_clusters_rep01	8	S
empty_p20_big_clusters_rep01	9	S
empty_p20_big_clusters_rep01	10	S
empty_p20_big_clusters_rep01	11	S
empty_p20_big_clusters_rep01	12	S
empty_p20_big_clusters_rep01	13	S
empty_p20_big_clusters_rep01	14	S
empty_p20_big_clusters_rep01	15	S
empty_p20_big_clusters_rep01	16	S
empty_p20_big_clusters_rep01	17	S
empty_p20_big_clusters_rep01	18	S
empty_p20_big_clusters_rep01	19	S
empty_p20_big_clusters_rep01	20	S
empty_p20_big_clusters_rep01	21	S
empty_p20_big_clusters_rep01	22	O
empty_p20_big_clusters_rep01	23	O
empty_p20_big_clusters_rep01	24	O
empty_p20_big_clusters_rep01	25	O
empty_p20_big_clusters_rep01	26	S
empty_p20_big_clusters_rep01	27	S
empty_p20_big_clusters_rep01	28	S
empty_p20_big_clusters_rep01	29	S
empty_p20_big_clusters_rep01	30	S
empty_p20_big_clusters_rep01	31	S
empty_p20_big_clusters_rep01	32	S
empty_p20_big_clusters_rep01	33	S
empty_p20_big_clusters_rep01	34	S
empty_p20_big_clusters_rep01	35	S
empty_p20_big_clusters_rep01	36	S
empty_p20_big_clusters_rep01	37	S
empty_p20_big_clusters_rep01	38	S
empty_p20_big_clusters_rep01	39	S
empty_p20_big_clusters_rep01	40	S
empty_p20_big_clusters_rep01	41	S
empty_p20_big_clusters_rep01	42	S
empty_p20_big_clusters_rep01	43	S
empty_p20_big_clusters_rep01	44	O
empty_p20_big_clusters_rep01	45	O
empty_p20_big_clusters_rep01	46	O
empty_p20_big_clusters_rep01	47	O
empty_p20_big_clusters_rep01	48	O
empty_p20_big_clusters_rep01	49	O
empty_p20_big_clusters_rep01	50	O
empty_p20_big_clusters_rep01	51	S
empty_p20_big_clusters_rep01	52	S
empty_p20_big_clusters_rep01	53	S
empty_p20_big_clusters_rep01	54	S
empty_p20_big_clusters_rep01	55	S
empty_p20_big_clusters_rep01	56	S
empty_p20_big_clusters_rep01	57	S
empty_p20_big_clusters_rep01	58	S
empty_p20_big_clusters_rep01	59	S
empty_p20_big_clusters_rep01	60	S
empty_p20_big_clusters_rep01	61	S
empty_p20_big_clusters_rep01	62	S
empty_p20_big_clusters_rep01	63	S
empty_p20_big_clusters_rep01	64	S
empty_p20_big_clusters_rep01	65	S
empty_p20_big_clusters_rep01	66	S
empty_p20_big_clusters_rep01	67	O
empty_p20_big_clusters_rep01	68	O
empty_p20_big_clusters_rep01	69	O
empty_p20_big_clusters_rep01	70	O
empty_p20_big_clusters_rep01	71	O
empty_p20_big_clusters_rep01	72	O
empty_p20_big_clusters_rep01	73	O
empty_p20_big_clusters_rep01	74	O
empty_p20_big_clusters_rep01	75	O
empty_p20_big_clusters_rep01	76	S
empty_p20_big_clusters_rep01	77	S
empty_p20_big_clusters_rep01	78	S
empty_p20_big_clusters_rep01	79	S
empty_p20_big_clusters_rep01	80	S
empty_p20_big_clusters_rep01	81	S
empty_p20_big_clusters_rep01	82	S
empty_p20_big_clusters_rep01	83	S
empty_p20_big_clusters_rep01	84	S
empty_p20_big_clusters_rep01	85	S
empty_p20_big_clusters_rep01	86	S
empty_p20_big_clusters_rep01	87	S
empty_p20_big_clusters_rep01	88	S
empty_p20_big_clusters_rep01	89	S
empty_p20_big_clusters_rep01	90	S
empty_p20_big_clusters_rep01	91	S
empty_p20_big_clusters_rep01	92	O
empty_p20_big_clusters_rep01	93	O
empty_p20_big_clusters_rep01	94	O
empty_p20_big_clusters_rep01	95	O
empty_p20_big_clusters_rep01	96	O
empty_p20_big_clusters_rep01	97	O
empty_p20_big_clusters_rep01	98	O
empty_p20_big_clusters_rep01	99	O
empty_p20_big_clusters_rep01	100	O
empty_p20_big_clusters_rep01	101	S
empty_p20_big_clusters_rep01	102	S
empty_p20_big_clusters_rep01	103	S
empty_p20_big_clusters_rep01	104	S
empty_p20_big_clusters_rep01	105	S
empty_p20_big_clusters_rep01	106	S
empty_p20_big_clusters_rep01	107	S
empty_p20_big_clusters_rep01	108	S
empty_p20_big_clusters_rep01	109	S
empty_p20_big_clusters_rep01	110	S
empty_p20_big_clusters_rep01	111	S
empty_p20_big_clusters_rep01	112	S
empty_p20_big_clusters_rep01	113	S
empty_p20_big_clusters_rep01	114	S
empty_p20_big_clusters_rep01	115	S
empty_p20_big_clusters_rep01	116	O
empty_p20_big_clusters_rep01	117	O
empty_p20_big_clusters_rep01	118	O
empty_p20_big_clusters_rep01	119	O
empty_p20_big_clusters_rep01	120	O
empty_p20_big_clusters_rep01	121	O
empty_p20_big_clusters_rep01	122	O
empty_p20_big_clusters_rep01	123	O
empty_p20_big_clusters_rep01	124	O
empty_p20_big_clusters_rep01	125	O
empty_p20_big_clusters_rep01	126	S
empty_p20_big_clusters_rep01	127	S
empty_p20_big_clusters_rep01	128	S
empty_p20_big_clusters_rep01	129	S
empty_p20_big_clusters_rep01	130	S
empty_p20_big_clusters_rep01	131	S
empty_p20_big_clusters_rep01	132	S
empty_p20_big_clusters_rep01	133	S
empty_p20_big_clusters_rep01	134	S
empty_p20_big_clusters_rep01	135	S
empty_p20_big_clusters_rep01	136	S
empty_p20_big_clusters_rep01	137	S
empty_p20_big_clusters_rep01	138	S
empty_p20_big_clusters_rep01	139	S
empty_p20_big_clusters_rep01	140	O
empty_p20_big_clusters_rep01	141	O
empty_p20_big_clusters_rep01	142	O
empty_p20_big_clusters_rep01	143	O
empty_p20_big_clusters_rep01	144	O
empty_p20_big_clusters_rep01	145	O
empty_p20_big_clusters_rep01	146	O
empty_p20_big_clusters_rep01	147	O
empty_p20_big_clusters_rep01	148	O
empty_p20_big_clusters_rep01	149	O
empty_p20_big_clusters_rep01	150	O
empty_p20_big_clusters_rep01	151	S
empty_p20_big_clusters_rep01	152	S
empty_p20_big_clusters_rep01	153	S
empty_p20_big_clusters_rep01	154	S
empty_p20_big_clusters_rep01	155	S
empty_p20_big_clusters_rep01	156	S
empty_p20_big_clusters_rep01	157	S
empty_p20_big_clusters_rep01	158	S
empty_p20_big_clusters_rep01	159	S
empty_p20_big_clusters_rep01	160	S
empty_p20_big_clusters_rep01	161	S
empty_p20_big_clusters_rep01	162	S
empty_p20_big_clusters_rep01	163	S
empty_p20_big_clusters_rep01	164	S
empty_p20_big_clusters_rep01	165	O
empty_p20_big_clusters_rep01	166	O
empty_p20_big_clusters_rep01	167	O
empty_p20_big_clusters_rep01	168	O
empty_p20_big_clusters_rep01	169	O
empty_p20_big_clusters_rep01	170	O
empty_p20_big_clusters_rep01	171	O
empty_p20_big_clusters_rep01	172	O
empty_p20_big_clusters_rep01	173	O
empty_p20_big_clusters_rep01	174	O
empty_p20_big_clusters_rep01	175	O
empty_p20_big_clusters_rep01	176	S
empty_p20_big_clusters_rep01	177	S
empty_p20_big_clusters_rep01	178	S
empty_p20_big_clusters_rep01	179	S
empty_p20_big_clusters_rep01	180	S
empty_p20_big_clusters_rep01	181	S
empty_p20_big_clusters_rep01	182	S
empty_p20_big_clusters_rep01	183	S
empty_p20_big_clusters_rep01	184	S
empty_p20_big_clusters_rep01	185	S
empty_p20_big_clusters_rep01	186	S
empty_p20_big_clusters_rep01	187	S
empty_p20_big_clusters_rep01	188	S
empty_p20_big_clusters_rep01	189	S
empty_p20_big_clusters_rep01	190	O
empty_p20_big_clusters_rep01	191	O
empty_p20_big_clusters_rep01	192	O
empty_p20_big_clusters_rep01	193	O
empty_p20_big_clusters_rep01	194	O
empty_p20_big_clusters_rep01	195	O
empty_p20_big_clusters_rep01	196	O
empty_p20_big_clusters_rep01	197	O
empty_p20_big_clusters_rep01	198	O
empty_p20_big_clusters_rep01	199	O
empty_p20_big_clusters_rep01	200	O
empty_p20_big_clusters_rep01	201	S
empty_p20_big_clusters_rep01	202	S
empty_p20_big_clusters_rep01	203	S
empty_p20_big_clusters_rep01	204	S
empty_p20_big_clusters_rep01	205	S
empty_p20_big_clusters_rep01	206	S
empty_p20_big_clusters_rep01	207	S
empty_p20_big_clusters_rep01	208	S
empty_p20_big_clusters_rep01	209	S
empty_p20_big_clusters_rep01	210	S
empty_p20_big_clusters_rep01	211	S
empty_p20_big_clusters_rep01	212	S
empty_p20_big_clusters_rep01	213	S
empty_p20_big_clusters_rep01	214	S
empty_p20_big_clusters_rep01	215	O
empty_p20_big_clusters_rep01	216	O
empty_p20_big_clusters_rep01	217	O
empty_p20_big_clusters_rep01	218	O
empty_p20_big_clusters_rep01	219	O
empty_p20_big_clusters_rep01	220	O
empty_p20_big_clusters_rep01	221	O
empty_p20_big_clusters_rep01	222	O
empty_p20_big_clusters_rep01	223	O
empty_p20_big_clusters_rep01	224	O
empty_p20_big_clusters_rep01	225	O
empty_p20_big_clusters_rep01	226	S
empty_p20_big_clusters_rep01	227	S
empty_p20_big_clusters_rep01	228	S
empty_p20_big_clusters_rep01	229	S
empty_p20_big_clusters_rep01	230	S
empty_p20_big_clusters_rep01	231	S
empty_p20_big_clusters_rep01	232	S
empty_p20_big_clusters_rep01	233	S
empty_p20_big_clusters_rep01	234	S
empty_p20_big_clusters_rep01	235	S
empty_p20_big_clusters_rep01	236	S
empty_p20_big_clusters_rep01	237	S
empty_p20_big_clusters_rep01	238	S
empty_p20_big_clusters_rep01	239	S
empty_p20_big_clusters_rep01	240	O
empty_p20_big_clusters_rep01	241	O
empty_p20_big_clusters_rep01	242	O
empty_p20_big_clusters_rep01	243	O
empty_p20_big_clusters_rep01	244	O
empty_p20_big_clusters_rep01	245	O
