simulation	patchID	patch_value
empty_p50_dispersed_rep04	1	O
empty_p50_dispersed_rep04	2	O
empty_p50_dispersed_rep04	3	O
empty_p50_dispersed_rep04	4	S
empty_p50_dispersed_rep04	5	S
empty_p50_dispersed_rep04	6	O
empty_p50_dispersed_rep04	7	O
empty_p50_dispersed_rep04	8	O
empty_p50_dispersed_rep04	9	S
empty_p50_dispersed_rep04	10	S
empty_p50_dispersed_rep04	11	O
empty_p50_dispersed_rep04	12	O
empty_p50_dispersed_rep04	13	O
empty_p50_dispersed_rep04	14	S
empty_p50_dispersed_rep04	15	S
empty_p50_dispersed_rep04	16	O
empty_p50_dispersed_rep04	17	S
empty_p50_dispersed_rep04	18	O
empty_p50_dispersed_rep04	19	S
empty_p50_dispersed_rep04	20	S
empty_p50_dispersed_rep04	21	O
empty_p50_dispersed_rep04	22	O
empty_p50_dispersed_rep04	23	S
empty_p50_dispersed_rep04	24	S
empty_p50_dispersed_rep04	25	O
empty_p50_dispersed_rep04	26	O
empty_p50_dispersed_rep04	27	O
empty_p50_dispersed_rep04	28	S
empty_p50_dispersed_rep04	29	S
empty_p50_dispersed_rep04	30	S
empty_p50_dispersed_rep04	31	S
empty_p50_dispersed_rep04	32	S
empty_p50_dispersed_rep04	33	O
empty_p50_dispersed_rep04	34	O
empty_p50_dispersed_rep04	35	S
empty_p50_dispersed_rep04	36	S
empty_p50_dispersed_rep04	37	S
empty_p50_dispersed_rep04	38	O
empty_p50_dispersed_rep04	39	O
empty_p50_dispersed_rep04	40	O
empty_p50_dispersed_rep04	41	S
empty_p50_dispersed_rep04	42	O
empty_p50_dispersed_rep04	43	O
empty_p50_dispersed_rep04	44	S
empty_p50_dispersed_rep04	45	O
empty_p50_dispersed_rep04	46	O
empty_p50_dispersed_rep04	47	O
empty_p50_dispersed_rep04	48	S
empty_p50_dispersed_rep04	49	O
empty_p50_dispersed_rep04	50	S
empty_p50_dispersed_rep04	51	O
empty_p50_dispersed_rep04	52	S
empty_p50_dispersed_rep04	53	S
empty_p50_dispersed_rep04	54	S
empty_p50_dispersed_rep04	55	S
empty_p50_dispersed_rep04	56	O
empty_p50_dispersed_rep04	57	O
empty_p50_dispersed_rep04	58	O
empty_p50_dispersed_rep04	59	O
empty_p50_dispersed_rep04	60	O
empty_p50_dispersed_rep04	61	S
empty_p50_dispersed_rep04	62	S
empty_p50_dispersed_rep04	63	S
empty_p50_dispersed_rep04	64	O
empty_p50_dispersed_rep04	65	O
empty_p50_dispersed_rep04	66	S
empty_p50_dispersed_rep04	67	O
empty_p50_dispersed_rep04	68	S
empty_p50_dispersed_rep04	69	O
empty_p50_dispersed_rep04	70	O
empty_p50_dispersed_rep04	71	O
empty_p50_dispersed_rep04	72	O
empty_p50_dispersed_rep04	73	S
empty_p50_dispersed_rep04	74	O
empty_p50_dispersed_rep04	75	S
empty_p50_dispersed_rep04	76	S
empty_p50_dispersed_rep04	77	S
empty_p50_dispersed_rep04	78	O
empty_p50_dispersed_rep04	79	S
empty_p50_dispersed_rep04	80	S
empty_p50_dispersed_rep04	81	O
empty_p50_dispersed_rep04	82	O
empty_p50_dispersed_rep04	83	S
empty_p50_dispersed_rep04	84	S
empty_p50_dispersed_rep04	85	O
empty_p50_dispersed_rep04	86	O
empty_p50_dispersed_rep04	87	O
empty_p50_dispersed_rep04	88	S
empty_p50_dispersed_rep04	89	S
empty_p50_dispersed_rep04	90	O
empty_p50_dispersed_rep04	91	S
empty_p50_dispersed_rep04	92	O
empty_p50_dispersed_rep04	93	O
empty_p50_dispersed_rep04	94	O
empty_p50_dispersed_rep04	95	O
empty_p50_dispersed_rep04	96	O
