simulation	patchID	patch_value
empty_p50_small_clusters_rep04	1	S
empty_p50_small_clusters_rep04	2	S
empty_p50_small_clusters_rep04	3	S
empty_p50_small_clusters_rep04	4	S
empty_p50_small_clusters_rep04	5	S
empty_p50_small_clusters_rep04	6	S
empty_p50_small_clusters_rep04	7	S
empty_p50_small_clusters_rep04	8	S
empty_p50_small_clusters_rep04	9	S
empty_p50_small_clusters_rep04	10	S
empty_p50_small_clusters_rep04	11	S
empty_p50_small_clusters_rep04	12	S
empty_p50_small_clusters_rep04	13	S
empty_p50_small_clusters_rep04	14	S
empty_p50_small_clusters_rep04	15	S
empty_p50_small_clusters_rep04	16	O
empty_p50_small_clusters_rep04	17	S
empty_p50_small_clusters_rep04	18	S
empty_p50_small_clusters_rep04	19	O
empty_p50_small_clusters_rep04	20	O
empty_p50_small_clusters_rep04	21	O
empty_p50_small_clusters_rep04	22	O
empty_p50_small_clusters_rep04	23	O
empty_p50_small_clusters_rep04	24	O
empty_p50_small_clusters_rep04	25	S
empty_p50_small_clusters_rep04	26	S
empty_p50_small_clusters_rep04	27	S
empty_p50_small_clusters_rep04	28	S
empty_p50_small_clusters_rep04	29	S
empty_p50_small_clusters_rep04	30	S
empty_p50_small_clusters_rep04	31	S
empty_p50_small_clusters_rep04	32	S
empty_p50_small_clusters_rep04	33	S
empty_p50_small_clusters_rep04	34	S
empty_p50_small_clusters_rep04	35	S
empty_p50_small_clusters_rep04	36	S
empty_p50_small_clusters_rep04	37	S
empty_p50_small_clusters_rep04	38	S
empty_p50_small_clusters_rep04	39	O
empty_p50_small_clusters_rep04	40	O
empty_p50_small_clusters_rep04	41	S
empty_p50_small_clusters_rep04	42	S
empty_p50_small_clusters_rep04	43	S
empty_p50_small_clusters_rep04	44	O
empty_p50_small_clusters_rep04	45	O
empty_p50_small_clusters_rep04	46	O
empty_p50_small_clusters_rep04	47	O
empty_p50_small_clusters_rep04	48	O
empty_p50_small_clusters_rep04	49	O
empty_p50_small_clusters_rep04	50	S
empty_p50_small_clusters_rep04	51	O
empty_p50_small_clusters_rep04	52	S
empty_p50_small_clusters_rep04	53	S
empty_p50_small_clusters_rep04	54	S
empty_p50_small_clusters_rep04	55	S
empty_p50_small_clusters_rep04	56	O
empty_p50_small_clusters_rep04	57	S
empty_p50_small_clusters_rep04	58	S
empty_p50_small_clusters_rep04	59	S
empty_p50_small_clusters_rep04	60	S
empty_p50_small_clusters_rep04	61	S
empty_p50_small_clusters_rep04	62	S
empty_p50_small_clusters_rep04	63	S
empty_p50_small_clusters_rep04	64	S
empty_p50_small_clusters_rep04	65	O
empty_p50_small_clusters_rep04	66	O
empty_p50_small_clusters_rep04	67	O
empty_p50_small_clusters_rep04	68	O
empty_p50_small_clusters_rep04	69	O
empty_p50_small_clusters_rep04	70	O
empty_p50_small_clusters_rep04	71	O
empty_p50_small_clusters_rep04	72	O
empty_p50_small_clusters_rep04	73	O
empty_p50_small_clusters_rep04	74	S
empty_p50_small_clusters_rep04	75	S
empty_p50_small_clusters_rep04	76	O
empty_p50_small_clusters_rep04	77	O
empty_p50_small_clusters_rep04	78	O
empty_p50_small_clusters_rep04	79	O
empty_p50_small_clusters_rep04	80	O
empty_p50_small_clusters_rep04	81	O
empty_p50_small_clusters_rep04	82	S
empty_p50_small_clusters_rep04	83	S
empty_p50_small_clusters_rep04	84	S
empty_p50_small_clusters_rep04	85	S
empty_p50_small_clusters_rep04	86	S
empty_p50_small_clusters_rep04	87	S
empty_p50_small_clusters_rep04	88	S
empty_p50_small_clusters_rep04	89	O
empty_p50_small_clusters_rep04	90	O
empty_p50_small_clusters_rep04	91	O
empty_p50_small_clusters_rep04	92	O
empty_p50_small_clusters_rep04	93	O
empty_p50_small_clusters_rep04	94	O
empty_p50_small_clusters_rep04	95	O
empty_p50_small_clusters_rep04	96	O
empty_p50_small_clusters_rep04	97	O
empty_p50_small_clusters_rep04	98	O
empty_p50_small_clusters_rep04	99	S
empty_p50_small_clusters_rep04	100	S
empty_p50_small_clusters_rep04	101	O
empty_p50_small_clusters_rep04	102	O
empty_p50_small_clusters_rep04	103	O
empty_p50_small_clusters_rep04	104	O
empty_p50_small_clusters_rep04	105	O
empty_p50_small_clusters_rep04	106	O
empty_p50_small_clusters_rep04	107	O
empty_p50_small_clusters_rep04	108	S
empty_p50_small_clusters_rep04	109	S
empty_p50_small_clusters_rep04	110	S
empty_p50_small_clusters_rep04	111	S
empty_p50_small_clusters_rep04	112	S
empty_p50_small_clusters_rep04	113	S
empty_p50_small_clusters_rep04	114	S
empty_p50_small_clusters_rep04	115	O
empty_p50_small_clusters_rep04	116	O
empty_p50_small_clusters_rep04	117	O
empty_p50_small_clusters_rep04	118	O
empty_p50_small_clusters_rep04	119	O
empty_p50_small_clusters_rep04	120	O
empty_p50_small_clusters_rep04	121	O
empty_p50_small_clusters_rep04	122	O
empty_p50_small_clusters_rep04	123	O
empty_p50_small_clusters_rep04	124	O
empty_p50_small_clusters_rep04	125	O
empty_p50_small_clusters_rep04	126	O
empty_p50_small_clusters_rep04	127	O
empty_p50_small_clusters_rep04	128	O
empty_p50_small_clusters_rep04	129	O
empty_p50_small_clusters_rep04	130	O
empty_p50_small_clusters_rep04	131	O
empty_p50_small_clusters_rep04	132	O
empty_p50_small_clusters_rep04	133	S
empty_p50_small_clusters_rep04	134	S
empty_p50_small_clusters_rep04	135	S
empty_p50_small_clusters_rep04	136	O
empty_p50_small_clusters_rep04	137	S
empty_p50_small_clusters_rep04	138	O
empty_p50_small_clusters_rep04	139	S
empty_p50_small_clusters_rep04	140	O
empty_p50_small_clusters_rep04	141	O
empty_p50_small_clusters_rep04	142	O
empty_p50_small_clusters_rep04	143	O
empty_p50_small_clusters_rep04	144	O
empty_p50_small_clusters_rep04	145	O
empty_p50_small_clusters_rep04	146	O
empty_p50_small_clusters_rep04	147	O
empty_p50_small_clusters_rep04	148	O
empty_p50_small_clusters_rep04	149	O
empty_p50_small_clusters_rep04	150	O
empty_p50_small_clusters_rep04	151	O
empty_p50_small_clusters_rep04	152	O
empty_p50_small_clusters_rep04	153	O
empty_p50_small_clusters_rep04	154	O
empty_p50_small_clusters_rep04	155	O
empty_p50_small_clusters_rep04	156	O
empty_p50_small_clusters_rep04	157	O
empty_p50_small_clusters_rep04	158	O
empty_p50_small_clusters_rep04	159	O
empty_p50_small_clusters_rep04	160	S
empty_p50_small_clusters_rep04	161	S
empty_p50_small_clusters_rep04	162	S
empty_p50_small_clusters_rep04	163	S
empty_p50_small_clusters_rep04	164	O
empty_p50_small_clusters_rep04	165	O
empty_p50_small_clusters_rep04	166	O
empty_p50_small_clusters_rep04	167	O
empty_p50_small_clusters_rep04	168	O
empty_p50_small_clusters_rep04	169	O
empty_p50_small_clusters_rep04	170	O
empty_p50_small_clusters_rep04	171	O
empty_p50_small_clusters_rep04	172	O
empty_p50_small_clusters_rep04	173	O
empty_p50_small_clusters_rep04	174	O
empty_p50_small_clusters_rep04	175	O
empty_p50_small_clusters_rep04	176	O
empty_p50_small_clusters_rep04	177	O
empty_p50_small_clusters_rep04	178	O
empty_p50_small_clusters_rep04	179	O
empty_p50_small_clusters_rep04	180	O
empty_p50_small_clusters_rep04	181	O
empty_p50_small_clusters_rep04	182	O
empty_p50_small_clusters_rep04	183	O
empty_p50_small_clusters_rep04	184	O
empty_p50_small_clusters_rep04	185	S
empty_p50_small_clusters_rep04	186	S
empty_p50_small_clusters_rep04	187	O
empty_p50_small_clusters_rep04	188	S
empty_p50_small_clusters_rep04	189	O
empty_p50_small_clusters_rep04	190	O
empty_p50_small_clusters_rep04	191	O
empty_p50_small_clusters_rep04	192	O
empty_p50_small_clusters_rep04	193	O
empty_p50_small_clusters_rep04	194	O
empty_p50_small_clusters_rep04	195	O
empty_p50_small_clusters_rep04	196	O
empty_p50_small_clusters_rep04	197	O
empty_p50_small_clusters_rep04	198	O
empty_p50_small_clusters_rep04	199	O
empty_p50_small_clusters_rep04	200	O
empty_p50_small_clusters_rep04	201	S
empty_p50_small_clusters_rep04	202	S
empty_p50_small_clusters_rep04	203	O
empty_p50_small_clusters_rep04	204	O
empty_p50_small_clusters_rep04	205	O
empty_p50_small_clusters_rep04	206	O
empty_p50_small_clusters_rep04	207	O
empty_p50_small_clusters_rep04	208	O
empty_p50_small_clusters_rep04	209	O
empty_p50_small_clusters_rep04	210	O
empty_p50_small_clusters_rep04	211	S
empty_p50_small_clusters_rep04	212	S
empty_p50_small_clusters_rep04	213	O
empty_p50_small_clusters_rep04	214	O
empty_p50_small_clusters_rep04	215	O
empty_p50_small_clusters_rep04	216	O
empty_p50_small_clusters_rep04	217	O
empty_p50_small_clusters_rep04	218	O
empty_p50_small_clusters_rep04	219	O
empty_p50_small_clusters_rep04	220	O
empty_p50_small_clusters_rep04	221	O
empty_p50_small_clusters_rep04	222	O
empty_p50_small_clusters_rep04	223	O
empty_p50_small_clusters_rep04	224	O
empty_p50_small_clusters_rep04	225	O
empty_p50_small_clusters_rep04	226	S
empty_p50_small_clusters_rep04	227	S
empty_p50_small_clusters_rep04	228	S
empty_p50_small_clusters_rep04	229	O
empty_p50_small_clusters_rep04	230	O
empty_p50_small_clusters_rep04	231	O
empty_p50_small_clusters_rep04	232	O
empty_p50_small_clusters_rep04	233	O
empty_p50_small_clusters_rep04	234	O
empty_p50_small_clusters_rep04	235	O
empty_p50_small_clusters_rep04	236	S
empty_p50_small_clusters_rep04	237	S
empty_p50_small_clusters_rep04	238	O
empty_p50_small_clusters_rep04	239	O
empty_p50_small_clusters_rep04	240	O
empty_p50_small_clusters_rep04	241	O
empty_p50_small_clusters_rep04	242	O
empty_p50_small_clusters_rep04	243	O
empty_p50_small_clusters_rep04	244	O
