simulation	patchID	patch_value
one_cluster_p10_r01	1	S
one_cluster_p10_r01	2	S
one_cluster_p10_r01	3	S
one_cluster_p10_r01	4	S
one_cluster_p10_r01	5	S
one_cluster_p10_r01	6	S
one_cluster_p10_r01	7	S
one_cluster_p10_r01	8	S
one_cluster_p10_r01	9	S
one_cluster_p10_r01	10	S
one_cluster_p10_r01	11	S
one_cluster_p10_r01	12	S
one_cluster_p10_r01	13	S
one_cluster_p10_r01	14	S
one_cluster_p10_r01	15	S
one_cluster_p10_r01	16	S
one_cluster_p10_r01	17	S
one_cluster_p10_r01	18	S
one_cluster_p10_r01	19	S
one_cluster_p10_r01	20	S
one_cluster_p10_r01	21	S
one_cluster_p10_r01	22	S
one_cluster_p10_r01	23	S
one_cluster_p10_r01	24	S
one_cluster_p10_r01	25	S
one_cluster_p10_r01	26	S
one_cluster_p10_r01	27	S
one_cluster_p10_r01	28	S
one_cluster_p10_r01	29	S
one_cluster_p10_r01	30	S
one_cluster_p10_r01	31	S
one_cluster_p10_r01	32	S
one_cluster_p10_r01	33	S
one_cluster_p10_r01	34	S
one_cluster_p10_r01	35	S
one_cluster_p10_r01	36	S
one_cluster_p10_r01	37	S
one_cluster_p10_r01	38	S
one_cluster_p10_r01	39	S
one_cluster_p10_r01	40	S
one_cluster_p10_r01	41	S
one_cluster_p10_r01	42	S
one_cluster_p10_r01	43	S
one_cluster_p10_r01	44	S
one_cluster_p10_r01	45	S
one_cluster_p10_r01	46	S
one_cluster_p10_r01	47	S
one_cluster_p10_r01	48	S
one_cluster_p10_r01	49	S
one_cluster_p10_r01	50	S
one_cluster_p10_r01	51	S
one_cluster_p10_r01	52	S
one_cluster_p10_r01	53	S
one_cluster_p10_r01	54	S
one_cluster_p10_r01	55	S
one_cluster_p10_r01	56	S
one_cluster_p10_r01	57	S
one_cluster_p10_r01	58	S
one_cluster_p10_r01	59	S
one_cluster_p10_r01	60	S
one_cluster_p10_r01	61	S
one_cluster_p10_r01	62	S
one_cluster_p10_r01	63	S
one_cluster_p10_r01	64	S
one_cluster_p10_r01	65	S
one_cluster_p10_r01	66	S
one_cluster_p10_r01	67	S
one_cluster_p10_r01	68	S
one_cluster_p10_r01	69	S
one_cluster_p10_r01	70	S
one_cluster_p10_r01	71	S
one_cluster_p10_r01	72	S
one_cluster_p10_r01	73	S
one_cluster_p10_r01	74	S
one_cluster_p10_r01	75	S
one_cluster_p10_r01	76	S
one_cluster_p10_r01	77	S
one_cluster_p10_r01	78	S
one_cluster_p10_r01	79	S
one_cluster_p10_r01	80	S
one_cluster_p10_r01	81	S
one_cluster_p10_r01	82	S
one_cluster_p10_r01	83	S
one_cluster_p10_r01	84	S
one_cluster_p10_r01	85	S
one_cluster_p10_r01	86	S
one_cluster_p10_r01	87	S
one_cluster_p10_r01	88	S
one_cluster_p10_r01	89	S
one_cluster_p10_r01	90	S
one_cluster_p10_r01	91	S
