simulation	patchID	patch_value
sc_p20_dispersed_rep03	1	O
sc_p20_dispersed_rep03	2	S
sc_p20_dispersed_rep03	3	S
sc_p20_dispersed_rep03	4	S
sc_p20_dispersed_rep03	5	S
sc_p20_dispersed_rep03	6	S
sc_p20_dispersed_rep03	7	O
sc_p20_dispersed_rep03	8	S
sc_p20_dispersed_rep03	9	S
sc_p20_dispersed_rep03	10	O
sc_p20_dispersed_rep03	11	S
sc_p20_dispersed_rep03	12	O
sc_p20_dispersed_rep03	13	S
sc_p20_dispersed_rep03	14	O
sc_p20_dispersed_rep03	15	S
sc_p20_dispersed_rep03	16	S
sc_p20_dispersed_rep03	17	S
sc_p20_dispersed_rep03	18	O
sc_p20_dispersed_rep03	19	S
sc_p20_dispersed_rep03	20	S
sc_p20_dispersed_rep03	21	S
sc_p20_dispersed_rep03	22	S
sc_p20_dispersed_rep03	23	S
sc_p20_dispersed_rep03	24	O
sc_p20_dispersed_rep03	25	S
sc_p20_dispersed_rep03	26	S
sc_p20_dispersed_rep03	27	S
sc_p20_dispersed_rep03	28	O
sc_p20_dispersed_rep03	29	S
sc_p20_dispersed_rep03	30	O
sc_p20_dispersed_rep03	31	S
sc_p20_dispersed_rep03	32	S
sc_p20_dispersed_rep03	33	S
sc_p20_dispersed_rep03	34	S
sc_p20_dispersed_rep03	35	S
sc_p20_dispersed_rep03	36	S
sc_p20_dispersed_rep03	37	S
sc_p20_dispersed_rep03	38	S
sc_p20_dispersed_rep03	39	S
sc_p20_dispersed_rep03	40	S
sc_p20_dispersed_rep03	41	O
sc_p20_dispersed_rep03	42	S
sc_p20_dispersed_rep03	43	S
sc_p20_dispersed_rep03	44	S
sc_p20_dispersed_rep03	45	O
sc_p20_dispersed_rep03	46	S
sc_p20_dispersed_rep03	47	O
sc_p20_dispersed_rep03	48	S
sc_p20_dispersed_rep03	49	S
sc_p20_dispersed_rep03	50	S
sc_p20_dispersed_rep03	51	O
sc_p20_dispersed_rep03	52	S
sc_p20_dispersed_rep03	53	S
sc_p20_dispersed_rep03	54	S
sc_p20_dispersed_rep03	55	S
