simulation	patchID	patch_value
sc_p50_big_clusters_rep04	1	S
sc_p50_big_clusters_rep04	2	S
sc_p50_big_clusters_rep04	3	S
sc_p50_big_clusters_rep04	4	S
sc_p50_big_clusters_rep04	5	S
sc_p50_big_clusters_rep04	6	S
sc_p50_big_clusters_rep04	7	S
sc_p50_big_clusters_rep04	8	S
sc_p50_big_clusters_rep04	9	S
sc_p50_big_clusters_rep04	10	S
sc_p50_big_clusters_rep04	11	S
sc_p50_big_clusters_rep04	12	S
sc_p50_big_clusters_rep04	13	S
sc_p50_big_clusters_rep04	14	S
sc_p50_big_clusters_rep04	15	S
sc_p50_big_clusters_rep04	16	S
sc_p50_big_clusters_rep04	17	S
sc_p50_big_clusters_rep04	18	S
sc_p50_big_clusters_rep04	19	S
sc_p50_big_clusters_rep04	20	S
sc_p50_big_clusters_rep04	21	S
sc_p50_big_clusters_rep04	22	S
sc_p50_big_clusters_rep04	23	S
sc_p50_big_clusters_rep04	24	S
sc_p50_big_clusters_rep04	25	S
sc_p50_big_clusters_rep04	26	S
sc_p50_big_clusters_rep04	27	S
sc_p50_big_clusters_rep04	28	S
sc_p50_big_clusters_rep04	29	S
sc_p50_big_clusters_rep04	30	S
sc_p50_big_clusters_rep04	31	S
sc_p50_big_clusters_rep04	32	S
sc_p50_big_clusters_rep04	33	S
sc_p50_big_clusters_rep04	34	S
sc_p50_big_clusters_rep04	35	S
sc_p50_big_clusters_rep04	36	S
sc_p50_big_clusters_rep04	37	S
sc_p50_big_clusters_rep04	38	S
sc_p50_big_clusters_rep04	39	S
sc_p50_big_clusters_rep04	40	S
sc_p50_big_clusters_rep04	41	S
sc_p50_big_clusters_rep04	42	S
sc_p50_big_clusters_rep04	43	S
sc_p50_big_clusters_rep04	44	S
sc_p50_big_clusters_rep04	45	S
sc_p50_big_clusters_rep04	46	S
sc_p50_big_clusters_rep04	47	S
sc_p50_big_clusters_rep04	48	S
sc_p50_big_clusters_rep04	49	S
sc_p50_big_clusters_rep04	50	S
sc_p50_big_clusters_rep04	51	S
sc_p50_big_clusters_rep04	52	S
sc_p50_big_clusters_rep04	53	S
sc_p50_big_clusters_rep04	54	S
sc_p50_big_clusters_rep04	55	S
sc_p50_big_clusters_rep04	56	S
sc_p50_big_clusters_rep04	57	S
sc_p50_big_clusters_rep04	58	S
sc_p50_big_clusters_rep04	59	S
sc_p50_big_clusters_rep04	60	S
sc_p50_big_clusters_rep04	61	S
sc_p50_big_clusters_rep04	62	S
sc_p50_big_clusters_rep04	63	S
sc_p50_big_clusters_rep04	64	S
sc_p50_big_clusters_rep04	65	S
sc_p50_big_clusters_rep04	66	S
sc_p50_big_clusters_rep04	67	S
sc_p50_big_clusters_rep04	68	S
sc_p50_big_clusters_rep04	69	S
sc_p50_big_clusters_rep04	70	S
sc_p50_big_clusters_rep04	71	S
sc_p50_big_clusters_rep04	72	S
sc_p50_big_clusters_rep04	73	S
sc_p50_big_clusters_rep04	74	S
sc_p50_big_clusters_rep04	75	S
sc_p50_big_clusters_rep04	76	S
sc_p50_big_clusters_rep04	77	S
sc_p50_big_clusters_rep04	78	S
sc_p50_big_clusters_rep04	79	S
sc_p50_big_clusters_rep04	80	S
sc_p50_big_clusters_rep04	81	S
sc_p50_big_clusters_rep04	82	S
sc_p50_big_clusters_rep04	83	S
sc_p50_big_clusters_rep04	84	S
sc_p50_big_clusters_rep04	85	S
sc_p50_big_clusters_rep04	86	S
sc_p50_big_clusters_rep04	87	S
sc_p50_big_clusters_rep04	88	S
sc_p50_big_clusters_rep04	89	S
sc_p50_big_clusters_rep04	90	S
sc_p50_big_clusters_rep04	91	S
sc_p50_big_clusters_rep04	92	S
sc_p50_big_clusters_rep04	93	S
sc_p50_big_clusters_rep04	94	S
sc_p50_big_clusters_rep04	95	S
sc_p50_big_clusters_rep04	96	S
sc_p50_big_clusters_rep04	97	S
sc_p50_big_clusters_rep04	98	S
sc_p50_big_clusters_rep04	99	S
sc_p50_big_clusters_rep04	100	S
sc_p50_big_clusters_rep04	101	S
sc_p50_big_clusters_rep04	102	S
sc_p50_big_clusters_rep04	103	S
sc_p50_big_clusters_rep04	104	S
sc_p50_big_clusters_rep04	105	S
sc_p50_big_clusters_rep04	106	S
sc_p50_big_clusters_rep04	107	S
sc_p50_big_clusters_rep04	108	S
sc_p50_big_clusters_rep04	109	S
sc_p50_big_clusters_rep04	110	S
sc_p50_big_clusters_rep04	111	S
sc_p50_big_clusters_rep04	112	S
sc_p50_big_clusters_rep04	113	S
sc_p50_big_clusters_rep04	114	S
sc_p50_big_clusters_rep04	115	S
sc_p50_big_clusters_rep04	116	S
sc_p50_big_clusters_rep04	117	S
sc_p50_big_clusters_rep04	118	S
sc_p50_big_clusters_rep04	119	S
sc_p50_big_clusters_rep04	120	S
sc_p50_big_clusters_rep04	121	S
sc_p50_big_clusters_rep04	122	S
sc_p50_big_clusters_rep04	123	S
sc_p50_big_clusters_rep04	124	S
sc_p50_big_clusters_rep04	125	S
sc_p50_big_clusters_rep04	126	S
sc_p50_big_clusters_rep04	127	S
sc_p50_big_clusters_rep04	128	S
sc_p50_big_clusters_rep04	129	S
sc_p50_big_clusters_rep04	130	S
sc_p50_big_clusters_rep04	131	S
sc_p50_big_clusters_rep04	132	S
sc_p50_big_clusters_rep04	133	S
sc_p50_big_clusters_rep04	134	S
sc_p50_big_clusters_rep04	135	S
sc_p50_big_clusters_rep04	136	S
sc_p50_big_clusters_rep04	137	S
sc_p50_big_clusters_rep04	138	S
sc_p50_big_clusters_rep04	139	S
sc_p50_big_clusters_rep04	140	S
sc_p50_big_clusters_rep04	141	S
sc_p50_big_clusters_rep04	142	S
sc_p50_big_clusters_rep04	143	S
sc_p50_big_clusters_rep04	144	S
sc_p50_big_clusters_rep04	145	S
sc_p50_big_clusters_rep04	146	S
sc_p50_big_clusters_rep04	147	S
sc_p50_big_clusters_rep04	148	S
sc_p50_big_clusters_rep04	149	S
sc_p50_big_clusters_rep04	150	S
sc_p50_big_clusters_rep04	151	O
sc_p50_big_clusters_rep04	152	O
sc_p50_big_clusters_rep04	153	O
sc_p50_big_clusters_rep04	154	O
sc_p50_big_clusters_rep04	155	O
sc_p50_big_clusters_rep04	156	O
sc_p50_big_clusters_rep04	157	S
sc_p50_big_clusters_rep04	158	S
sc_p50_big_clusters_rep04	159	S
sc_p50_big_clusters_rep04	160	S
sc_p50_big_clusters_rep04	161	S
sc_p50_big_clusters_rep04	162	S
sc_p50_big_clusters_rep04	163	S
sc_p50_big_clusters_rep04	164	S
sc_p50_big_clusters_rep04	165	S
sc_p50_big_clusters_rep04	166	S
sc_p50_big_clusters_rep04	167	S
sc_p50_big_clusters_rep04	168	S
sc_p50_big_clusters_rep04	169	S
sc_p50_big_clusters_rep04	170	S
sc_p50_big_clusters_rep04	171	S
sc_p50_big_clusters_rep04	172	S
sc_p50_big_clusters_rep04	173	S
sc_p50_big_clusters_rep04	174	S
sc_p50_big_clusters_rep04	175	S
sc_p50_big_clusters_rep04	176	O
sc_p50_big_clusters_rep04	177	O
sc_p50_big_clusters_rep04	178	O
sc_p50_big_clusters_rep04	179	O
sc_p50_big_clusters_rep04	180	O
sc_p50_big_clusters_rep04	181	O
sc_p50_big_clusters_rep04	182	O
sc_p50_big_clusters_rep04	183	O
sc_p50_big_clusters_rep04	184	S
sc_p50_big_clusters_rep04	185	S
sc_p50_big_clusters_rep04	186	S
sc_p50_big_clusters_rep04	187	S
sc_p50_big_clusters_rep04	188	S
sc_p50_big_clusters_rep04	189	S
sc_p50_big_clusters_rep04	190	S
sc_p50_big_clusters_rep04	191	S
sc_p50_big_clusters_rep04	192	S
sc_p50_big_clusters_rep04	193	S
sc_p50_big_clusters_rep04	194	S
sc_p50_big_clusters_rep04	195	S
sc_p50_big_clusters_rep04	196	S
sc_p50_big_clusters_rep04	197	S
sc_p50_big_clusters_rep04	198	S
sc_p50_big_clusters_rep04	199	S
sc_p50_big_clusters_rep04	200	S
sc_p50_big_clusters_rep04	201	O
sc_p50_big_clusters_rep04	202	O
sc_p50_big_clusters_rep04	203	O
sc_p50_big_clusters_rep04	204	O
sc_p50_big_clusters_rep04	205	O
sc_p50_big_clusters_rep04	206	O
sc_p50_big_clusters_rep04	207	O
sc_p50_big_clusters_rep04	208	O
sc_p50_big_clusters_rep04	209	O
sc_p50_big_clusters_rep04	210	S
sc_p50_big_clusters_rep04	211	S
sc_p50_big_clusters_rep04	212	S
sc_p50_big_clusters_rep04	213	S
sc_p50_big_clusters_rep04	214	S
sc_p50_big_clusters_rep04	215	S
sc_p50_big_clusters_rep04	216	S
sc_p50_big_clusters_rep04	217	S
sc_p50_big_clusters_rep04	218	S
sc_p50_big_clusters_rep04	219	S
sc_p50_big_clusters_rep04	220	S
sc_p50_big_clusters_rep04	221	S
sc_p50_big_clusters_rep04	222	S
sc_p50_big_clusters_rep04	223	S
sc_p50_big_clusters_rep04	224	S
sc_p50_big_clusters_rep04	225	S
sc_p50_big_clusters_rep04	226	O
sc_p50_big_clusters_rep04	227	O
sc_p50_big_clusters_rep04	228	O
sc_p50_big_clusters_rep04	229	O
sc_p50_big_clusters_rep04	230	O
sc_p50_big_clusters_rep04	231	O
sc_p50_big_clusters_rep04	232	O
sc_p50_big_clusters_rep04	233	O
sc_p50_big_clusters_rep04	234	O
sc_p50_big_clusters_rep04	235	O
sc_p50_big_clusters_rep04	236	S
sc_p50_big_clusters_rep04	237	S
sc_p50_big_clusters_rep04	238	S
sc_p50_big_clusters_rep04	239	S
sc_p50_big_clusters_rep04	240	S
sc_p50_big_clusters_rep04	241	S
sc_p50_big_clusters_rep04	242	S
sc_p50_big_clusters_rep04	243	S
sc_p50_big_clusters_rep04	244	S
sc_p50_big_clusters_rep04	245	S
sc_p50_big_clusters_rep04	246	S
sc_p50_big_clusters_rep04	247	S
sc_p50_big_clusters_rep04	248	S
sc_p50_big_clusters_rep04	249	S
sc_p50_big_clusters_rep04	250	S
sc_p50_big_clusters_rep04	251	O
sc_p50_big_clusters_rep04	252	O
sc_p50_big_clusters_rep04	253	O
sc_p50_big_clusters_rep04	254	O
sc_p50_big_clusters_rep04	255	O
sc_p50_big_clusters_rep04	256	O
sc_p50_big_clusters_rep04	257	O
sc_p50_big_clusters_rep04	258	O
sc_p50_big_clusters_rep04	259	O
sc_p50_big_clusters_rep04	260	O
sc_p50_big_clusters_rep04	261	S
sc_p50_big_clusters_rep04	262	S
sc_p50_big_clusters_rep04	263	S
sc_p50_big_clusters_rep04	264	S
sc_p50_big_clusters_rep04	265	S
sc_p50_big_clusters_rep04	266	S
sc_p50_big_clusters_rep04	267	S
sc_p50_big_clusters_rep04	268	S
sc_p50_big_clusters_rep04	269	S
sc_p50_big_clusters_rep04	270	S
sc_p50_big_clusters_rep04	271	S
sc_p50_big_clusters_rep04	272	S
sc_p50_big_clusters_rep04	273	S
sc_p50_big_clusters_rep04	274	S
sc_p50_big_clusters_rep04	275	S
sc_p50_big_clusters_rep04	276	O
sc_p50_big_clusters_rep04	277	O
sc_p50_big_clusters_rep04	278	O
sc_p50_big_clusters_rep04	279	O
sc_p50_big_clusters_rep04	280	O
sc_p50_big_clusters_rep04	281	O
sc_p50_big_clusters_rep04	282	O
