simulation	patchID	patch_value
transects_p40_r02	1	O
transects_p40_r02	2	S
transects_p40_r02	3	S
transects_p40_r02	4	S
transects_p40_r02	5	O
transects_p40_r02	6	S
transects_p40_r02	7	S
transects_p40_r02	8	S
transects_p40_r02	9	O
transects_p40_r02	10	S
transects_p40_r02	11	O
transects_p40_r02	12	S
transects_p40_r02	13	O
transects_p40_r02	14	S
transects_p40_r02	15	S
transects_p40_r02	16	O
transects_p40_r02	17	O
transects_p40_r02	18	O
transects_p40_r02	19	O
transects_p40_r02	20	S
transects_p40_r02	21	S
transects_p40_r02	22	S
transects_p40_r02	23	O
transects_p40_r02	24	S
transects_p40_r02	25	S
transects_p40_r02	26	O
transects_p40_r02	27	S
transects_p40_r02	28	S
transects_p40_r02	29	S
transects_p40_r02	30	O
transects_p40_r02	31	S
transects_p40_r02	32	S
transects_p40_r02	33	S
transects_p40_r02	34	O
transects_p40_r02	35	S
transects_p40_r02	36	O
transects_p40_r02	37	S
transects_p40_r02	38	O
transects_p40_r02	39	S
transects_p40_r02	40	S
transects_p40_r02	41	O
transects_p40_r02	42	O
transects_p40_r02	43	O
transects_p40_r02	44	O
transects_p40_r02	45	S
transects_p40_r02	46	S
transects_p40_r02	47	S
transects_p40_r02	48	O
transects_p40_r02	49	S
transects_p40_r02	50	S
transects_p40_r02	51	O
transects_p40_r02	52	S
transects_p40_r02	53	S
transects_p40_r02	54	S
transects_p40_r02	55	O
transects_p40_r02	56	S
transects_p40_r02	57	S
transects_p40_r02	58	S
transects_p40_r02	59	O
transects_p40_r02	60	S
transects_p40_r02	61	O
transects_p40_r02	62	S
transects_p40_r02	63	O
transects_p40_r02	64	S
transects_p40_r02	65	S
transects_p40_r02	66	O
transects_p40_r02	67	O
transects_p40_r02	68	O
transects_p40_r02	69	O
transects_p40_r02	70	S
transects_p40_r02	71	S
transects_p40_r02	72	S
transects_p40_r02	73	O
transects_p40_r02	74	S
transects_p40_r02	75	S
transects_p40_r02	76	O
transects_p40_r02	77	S
transects_p40_r02	78	S
transects_p40_r02	79	S
transects_p40_r02	80	O
transects_p40_r02	81	S
transects_p40_r02	82	S
transects_p40_r02	83	S
transects_p40_r02	84	O
transects_p40_r02	85	S
transects_p40_r02	86	O
transects_p40_r02	87	S
transects_p40_r02	88	O
transects_p40_r02	89	S
transects_p40_r02	90	S
transects_p40_r02	91	O
transects_p40_r02	92	O
transects_p40_r02	93	O
transects_p40_r02	94	O
transects_p40_r02	95	S
transects_p40_r02	96	S
transects_p40_r02	97	S
transects_p40_r02	98	O
transects_p40_r02	99	S
transects_p40_r02	100	S
transects_p40_r02	101	O
transects_p40_r02	102	S
transects_p40_r02	103	S
transects_p40_r02	104	S
transects_p40_r02	105	O
transects_p40_r02	106	S
transects_p40_r02	107	S
transects_p40_r02	108	S
transects_p40_r02	109	O
transects_p40_r02	110	S
transects_p40_r02	111	O
transects_p40_r02	112	S
transects_p40_r02	113	O
transects_p40_r02	114	S
transects_p40_r02	115	S
transects_p40_r02	116	O
transects_p40_r02	117	O
transects_p40_r02	118	O
transects_p40_r02	119	O
transects_p40_r02	120	S
transects_p40_r02	121	S
transects_p40_r02	122	S
transects_p40_r02	123	O
transects_p40_r02	124	S
transects_p40_r02	125	S
transects_p40_r02	126	O
transects_p40_r02	127	S
transects_p40_r02	128	S
transects_p40_r02	129	S
transects_p40_r02	130	O
transects_p40_r02	131	S
transects_p40_r02	132	S
transects_p40_r02	133	S
transects_p40_r02	134	O
transects_p40_r02	135	S
transects_p40_r02	136	O
transects_p40_r02	137	S
transects_p40_r02	138	O
transects_p40_r02	139	S
transects_p40_r02	140	S
transects_p40_r02	141	O
transects_p40_r02	142	O
transects_p40_r02	143	O
transects_p40_r02	144	O
transects_p40_r02	145	S
transects_p40_r02	146	S
transects_p40_r02	147	S
transects_p40_r02	148	O
transects_p40_r02	149	S
transects_p40_r02	150	S
transects_p40_r02	151	O
transects_p40_r02	152	S
transects_p40_r02	153	S
transects_p40_r02	154	S
transects_p40_r02	155	O
transects_p40_r02	156	S
transects_p40_r02	157	S
transects_p40_r02	158	S
transects_p40_r02	159	O
transects_p40_r02	160	S
transects_p40_r02	161	O
transects_p40_r02	162	S
transects_p40_r02	163	O
transects_p40_r02	164	S
transects_p40_r02	165	S
transects_p40_r02	166	O
transects_p40_r02	167	O
transects_p40_r02	168	O
transects_p40_r02	169	O
transects_p40_r02	170	S
transects_p40_r02	171	S
transects_p40_r02	172	S
transects_p40_r02	173	O
transects_p40_r02	174	S
transects_p40_r02	175	S
transects_p40_r02	176	O
transects_p40_r02	177	S
transects_p40_r02	178	S
transects_p40_r02	179	S
transects_p40_r02	180	O
transects_p40_r02	181	S
transects_p40_r02	182	S
transects_p40_r02	183	S
transects_p40_r02	184	O
transects_p40_r02	185	S
transects_p40_r02	186	O
transects_p40_r02	187	S
transects_p40_r02	188	O
transects_p40_r02	189	S
transects_p40_r02	190	S
transects_p40_r02	191	O
transects_p40_r02	192	O
transects_p40_r02	193	O
transects_p40_r02	194	O
transects_p40_r02	195	S
transects_p40_r02	196	S
transects_p40_r02	197	S
transects_p40_r02	198	O
transects_p40_r02	199	S
transects_p40_r02	200	S
transects_p40_r02	201	O
transects_p40_r02	202	S
transects_p40_r02	203	S
transects_p40_r02	204	S
transects_p40_r02	205	O
transects_p40_r02	206	S
transects_p40_r02	207	S
transects_p40_r02	208	S
transects_p40_r02	209	O
transects_p40_r02	210	S
transects_p40_r02	211	O
transects_p40_r02	212	S
transects_p40_r02	213	O
transects_p40_r02	214	S
transects_p40_r02	215	S
transects_p40_r02	216	O
transects_p40_r02	217	O
transects_p40_r02	218	O
transects_p40_r02	219	O
transects_p40_r02	220	S
transects_p40_r02	221	S
transects_p40_r02	222	S
transects_p40_r02	223	O
transects_p40_r02	224	S
transects_p40_r02	225	S
transects_p40_r02	226	O
transects_p40_r02	227	S
transects_p40_r02	228	S
transects_p40_r02	229	S
transects_p40_r02	230	O
transects_p40_r02	231	S
transects_p40_r02	232	S
transects_p40_r02	233	S
transects_p40_r02	234	O
transects_p40_r02	235	S
transects_p40_r02	236	O
transects_p40_r02	237	S
transects_p40_r02	238	O
transects_p40_r02	239	S
transects_p40_r02	240	S
transects_p40_r02	241	O
transects_p40_r02	242	O
transects_p40_r02	243	O
transects_p40_r02	244	O
transects_p40_r02	245	S
transects_p40_r02	246	S
transects_p40_r02	247	S
transects_p40_r02	248	O
transects_p40_r02	249	S
transects_p40_r02	250	S
transects_p40_r02	251	O
transects_p40_r02	252	S
transects_p40_r02	253	S
transects_p40_r02	254	S
transects_p40_r02	255	O
transects_p40_r02	256	S
transects_p40_r02	257	S
transects_p40_r02	258	S
transects_p40_r02	259	O
transects_p40_r02	260	S
transects_p40_r02	261	O
transects_p40_r02	262	S
transects_p40_r02	263	O
transects_p40_r02	264	S
transects_p40_r02	265	S
transects_p40_r02	266	O
transects_p40_r02	267	O
transects_p40_r02	268	O
transects_p40_r02	269	O
transects_p40_r02	270	S
transects_p40_r02	271	S
transects_p40_r02	272	S
transects_p40_r02	273	O
transects_p40_r02	274	S
transects_p40_r02	275	S
transects_p40_r02	276	O
transects_p40_r02	277	S
transects_p40_r02	278	S
transects_p40_r02	279	S
transects_p40_r02	280	O
transects_p40_r02	281	S
transects_p40_r02	282	S
transects_p40_r02	283	S
transects_p40_r02	284	O
transects_p40_r02	285	S
transects_p40_r02	286	O
transects_p40_r02	287	S
transects_p40_r02	288	O
transects_p40_r02	289	S
transects_p40_r02	290	S
transects_p40_r02	291	O
transects_p40_r02	292	O
transects_p40_r02	293	O
transects_p40_r02	294	O
transects_p40_r02	295	S
transects_p40_r02	296	S
transects_p40_r02	297	S
transects_p40_r02	298	O
transects_p40_r02	299	S
transects_p40_r02	300	S
transects_p40_r02	301	O
transects_p40_r02	302	S
transects_p40_r02	303	S
transects_p40_r02	304	S
transects_p40_r02	305	O
transects_p40_r02	306	S
transects_p40_r02	307	S
transects_p40_r02	308	S
transects_p40_r02	309	O
transects_p40_r02	310	S
transects_p40_r02	311	O
transects_p40_r02	312	S
transects_p40_r02	313	O
transects_p40_r02	314	S
transects_p40_r02	315	S
transects_p40_r02	316	O
transects_p40_r02	317	O
transects_p40_r02	318	O
transects_p40_r02	319	O
transects_p40_r02	320	S
transects_p40_r02	321	S
transects_p40_r02	322	S
transects_p40_r02	323	O
transects_p40_r02	324	S
transects_p40_r02	325	S
transects_p40_r02	326	O
transects_p40_r02	327	S
transects_p40_r02	328	S
transects_p40_r02	329	S
transects_p40_r02	330	O
transects_p40_r02	331	S
transects_p40_r02	332	S
transects_p40_r02	333	S
transects_p40_r02	334	O
transects_p40_r02	335	S
transects_p40_r02	336	O
transects_p40_r02	337	S
transects_p40_r02	338	O
transects_p40_r02	339	S
transects_p40_r02	340	S
transects_p40_r02	341	O
transects_p40_r02	342	O
transects_p40_r02	343	O
transects_p40_r02	344	O
transects_p40_r02	345	S
transects_p40_r02	346	S
transects_p40_r02	347	S
transects_p40_r02	348	O
transects_p40_r02	349	S
transects_p40_r02	350	S
transects_p40_r02	351	O
transects_p40_r02	352	S
transects_p40_r02	353	S
transects_p40_r02	354	S
transects_p40_r02	355	O
transects_p40_r02	356	S
transects_p40_r02	357	S
transects_p40_r02	358	S
transects_p40_r02	359	O
transects_p40_r02	360	S
transects_p40_r02	361	O
transects_p40_r02	362	S
transects_p40_r02	363	O
transects_p40_r02	364	S
transects_p40_r02	365	S
transects_p40_r02	366	O
transects_p40_r02	367	O
transects_p40_r02	368	O
transects_p40_r02	369	O
transects_p40_r02	370	S
transects_p40_r02	371	S
transects_p40_r02	372	S
transects_p40_r02	373	O
transects_p40_r02	374	S
transects_p40_r02	375	S
transects_p40_r02	376	O
transects_p40_r02	377	S
transects_p40_r02	378	S
transects_p40_r02	379	S
transects_p40_r02	380	O
transects_p40_r02	381	S
transects_p40_r02	382	S
transects_p40_r02	383	S
transects_p40_r02	384	O
transects_p40_r02	385	S
transects_p40_r02	386	O
transects_p40_r02	387	S
transects_p40_r02	388	O
transects_p40_r02	389	S
transects_p40_r02	390	S
transects_p40_r02	391	O
transects_p40_r02	392	O
transects_p40_r02	393	O
transects_p40_r02	394	O
transects_p40_r02	395	S
transects_p40_r02	396	S
transects_p40_r02	397	S
transects_p40_r02	398	O
transects_p40_r02	399	S
transects_p40_r02	400	S
transects_p40_r02	401	O
transects_p40_r02	402	S
transects_p40_r02	403	S
transects_p40_r02	404	S
transects_p40_r02	405	O
transects_p40_r02	406	S
transects_p40_r02	407	S
transects_p40_r02	408	S
transects_p40_r02	409	O
transects_p40_r02	410	S
transects_p40_r02	411	O
