sim_name	configuration	prop_orientalis	prop_used	n_orientalis	n_target	run_id	seed	cfg_file	quanti_file	stage_file
dispersed_p10_r01	dispersed	0.1	0.0992	62	62.5	1	110100	input_files/configs_txt/dispersed_p10_r01.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r01.txt
dispersed_p10_r02	dispersed	0.1	0.0992	62	62.5	2	110101	input_files/configs_txt/dispersed_p10_r02.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r02.txt
dispersed_p10_r03	dispersed	0.1	0.0992	62	62.5	3	110102	input_files/configs_txt/dispersed_p10_r03.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r03.txt
dispersed_p10_r04	dispersed	0.1	0.0992	62	62.5	4	110103	input_files/configs_txt/dispersed_p10_r04.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r04.txt
dispersed_p10_r05	dispersed	0.1	0.0992	62	62.5	5	110104	input_files/configs_txt/dispersed_p10_r05.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r05.txt
one_cluster_p10_r01	one_cluster	0.1	0.0992	62	62.5	1	110200	input_files/configs_txt/one_cluster_p10_r01.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r01.txt
one_cluster_p10_r02	one_cluster	0.1	0.0992	62	62.5	2	110201	input_files/configs_txt/one_cluster_p10_r02.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r02.txt
one_cluster_p10_r03	one_cluster	0.1	0.0992	62	62.5	3	110202	input_files/configs_txt/one_cluster_p10_r03.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r03.txt
one_cluster_p10_r04	one_cluster	0.1	0.0992	62	62.5	4	110203	input_files/configs_txt/one_cluster_p10_r04.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r04.txt
one_cluster_p10_r05	one_cluster	0.1	0.0992	62	62.5	5	110204	input_files/configs_txt/one_cluster_p10_r05.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r05.txt
multi_cluster_p10_r01	multi_cluster	0.1	0.0992	62	62.5	1	110300	input_files/configs_txt/multi_cluster_p10_r01.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r01.txt
multi_cluster_p10_r02	multi_cluster	0.1	0.0992	62	62.5	2	110301	input_files/configs_txt/multi_cluster_p10_r02.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r02.txt
multi_cluster_p10_r03	multi_cluster	0.1	0.0992	62	62.5	3	110302	input_files/configs_txt/multi_cluster_p10_r03.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r03.txt
multi_cluster_p10_r04	multi_cluster	0.1	0.0992	62	62.5	4	110303	input_files/configs_txt/multi_cluster_p10_r04.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r04.txt
multi_cluster_p10_r05	multi_cluster	0.1	0.0992	62	62.5	5	110304	input_files/configs_txt/multi_cluster_p10_r05.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p10_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p10_r05.txt
transects_p10_r01	transects	0.1	0.0992	62	62.5	1	110400	input_files/configs_txt/transects_p10_r01.txt	input_files/quanti_init_freq/quanti_init_file_transects_p10_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r01.txt
transects_p10_r02	transects	0.1	0.0992	62	62.5	2	110401	input_files/configs_txt/transects_p10_r02.txt	input_files/quanti_init_freq/quanti_init_file_transects_p10_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r02.txt
transects_p10_r03	transects	0.1	0.0992	62	62.5	3	110402	input_files/configs_txt/transects_p10_r03.txt	input_files/quanti_init_freq/quanti_init_file_transects_p10_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r03.txt
transects_p10_r04	transects	0.1	0.0992	62	62.5	4	110403	input_files/configs_txt/transects_p10_r04.txt	input_files/quanti_init_freq/quanti_init_file_transects_p10_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r04.txt
transects_p10_r05	transects	0.1	0.0992	62	62.5	5	110404	input_files/configs_txt/transects_p10_r05.txt	input_files/quanti_init_freq/quanti_init_file_transects_p10_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_transects_p10_r05.txt
dispersed_p25_r01	dispersed	0.25	0.2496	156	156.25	1	260100	input_files/configs_txt/dispersed_p25_r01.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r01.txt
dispersed_p25_r02	dispersed	0.25	0.2496	156	156.25	2	260101	input_files/configs_txt/dispersed_p25_r02.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r02.txt
dispersed_p25_r03	dispersed	0.25	0.2496	156	156.25	3	260102	input_files/configs_txt/dispersed_p25_r03.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r03.txt
dispersed_p25_r04	dispersed	0.25	0.2496	156	156.25	4	260103	input_files/configs_txt/dispersed_p25_r04.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r04.txt
dispersed_p25_r05	dispersed	0.25	0.2496	156	156.25	5	260104	input_files/configs_txt/dispersed_p25_r05.txt	input_files/quanti_init_freq/quanti_init_file_dispersed_p25_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p25_r05.txt
one_cluster_p25_r01	one_cluster	0.25	0.2496	156	156.25	1	260200	input_files/configs_txt/one_cluster_p25_r01.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r01.txt
one_cluster_p25_r02	one_cluster	0.25	0.2496	156	156.25	2	260201	input_files/configs_txt/one_cluster_p25_r02.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r02.txt
one_cluster_p25_r03	one_cluster	0.25	0.2496	156	156.25	3	260202	input_files/configs_txt/one_cluster_p25_r03.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r03.txt
one_cluster_p25_r04	one_cluster	0.25	0.2496	156	156.25	4	260203	input_files/configs_txt/one_cluster_p25_r04.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r04.txt
one_cluster_p25_r05	one_cluster	0.25	0.2496	156	156.25	5	260204	input_files/configs_txt/one_cluster_p25_r05.txt	input_files/quanti_init_freq/quanti_init_file_one_cluster_p25_r05.txt	input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p25_r05.txt
multi_cluster_p25_r01	multi_cluster	0.25	0.2496	156	156.25	1	260300	input_files/configs_txt/multi_cluster_p25_r01.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r01.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r01.txt
multi_cluster_p25_r02	multi_cluster	0.25	0.2496	156	156.25	2	260301	input_files/configs_txt/multi_cluster_p25_r02.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r02.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r02.txt
multi_cluster_p25_r03	multi_cluster	0.25	0.2496	156	156.25	3	260302	input_files/configs_txt/multi_cluster_p25_r03.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r03.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r03.txt
multi_cluster_p25_r04	multi_cluster	0.25	0.2496	156	156.25	4	260303	input_files/configs_txt/multi_cluster_p25_r04.txt	input_files/quanti_init_freq/quanti_init_file_multi_cluster_p25_r04.txt	input_files/patch_init_stage_size/patch_init_stage_size_multi_cluster_p25_r04.txt
