
  N E M O A G E 0.32.6b DMI [06 Mar 2025]

  Copyright (C) 2006-2025 The Authors
  This is free software; see the source for copying
  conditions. There is NO warranty; not even for 
  MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
  Repository: https://bitbucket.org/ecoevo/nemo-age-release
  Support: nemo-simul@googlegroups.com
-----------------------------------------------------------
reading parameters from "ini_files/run/dispersed_p10_r01_sel_O_k30_b0.03.ini"
setting random seed from input value: 9999

>>>> WARNING::"quanti_allele_value" has less values than the number of loci, allelic values will be recycled among loci.

--- SIMULATION 1/1 ---- [ dispersed_p10_r01_sel_O_k30_b0.03 ]

    start: 10-02-2026 13:31:49
    mode: overwrite
    population: 4 stages, 625 patches
    traits: quant(0)
    LCEs: quanti_init(0), breed_disperse(1), seed_disperse(2), viability_selection(3), regulation(4), save_stats(5), aging_multi(6), save_files(7)
    outputs: results/sel_O/dispersed/p10/r01/run/{*.log, quanti/*.quanti, *.txt}

>>>> WARNING::"results/sel_O/dispersed/p10/r01/run/dispersed_p10_r01_sel_O_k30_b0.03.txt" exists
>>>> WARNING::Overwriting existing files.



    replicate 1/20 [13:31:49] 1/1000                
    replicate 1/20 [13:31:49] 1/1000
>>>> WARNING::offspring containers are not empty at time of breeding, flushing.

    replicate 1/20 [13:31:49] 2/1000
    replicate 1/20 [13:31:49] 3/1000
    replicate 1/20 [13:31:49] 4/1000
    replicate 1/20 [13:31:49] 5/1000
    replicate 1/20 [13:31:49] 6/1000
    replicate 1/20 [13:31:49] 7/1000
    replicate 1/20 [13:31:49] 8/1000
    replicate 1/20 [13:31:50] 9/1000
    replicate 1/20 [13:31:50] 10/1000
    replicate 1/20 [13:31:50] 11/1000
    replicate 1/20 [13:31:50] 12/1000
    replicate 1/20 [13:31:50] 13/1000
    replicate 1/20 [13:31:50] 14/1000
    replicate 1/20 [13:31:50] 15/1000
    replicate 1/20 [13:31:50] 16/1000
    replicate 1/20 [13:31:50] 17/1000
    replicate 1/20 [13:31:50] 18/1000
    replicate 1/20 [13:31:50] 19/1000
    replicate 1/20 [13:31:50] 20/1000
    replicate 1/20 [13:31:50] 21/1000
    replicate 1/20 [13:31:50] 22/1000
    replicate 1/20 [13:31:50] 23/1000
    replicate 1/20 [13:31:50] 24/1000
    replicate 1/20 [13:31:50] 25/1000
    replicate 1/20 [13:31:50] 26/1000
    replicate 1/20 [13:31:50] 27/1000
    replicate 1/20 [13:31:50] 28/1000
    replicate 1/20 [13:31:50] 29/1000
    replicate 1/20 [13:31:50] 30/1000
    replicate 1/20 [13:31:50] 31/1000
    replicate 1/20 [13:31:50] 32/1000
    replicate 1/20 [13:31:50] 33/1000
    replicate 1/20 [13:31:50] 34/1000
    replicate 1/20 [13:31:50] 35/1000
    replicate 1/20 [13:31:50] 36/1000
    replicate 1/20 [13:31:50] 37/1000
    replicate 1/20 [13:31:50] 38/1000
    replicate 1/20 [13:31:50] 39/1000
    replicate 1/20 [13:31:50] 40/1000
    replicate 1/20 [13:31:50] 41/1000
    replicate 1/20 [13:31:50] 42/1000
    replicate 1/20 [13:31:50] 43/1000
    replicate 1/20 [13:31:50] 44/1000
    replicate 1/20 [13:31:50] 45/1000
    replicate 1/20 [13:31:50] 46/1000
    replicate 1/20 [13:31:50] 47/1000
    replicate 1/20 [13:31:50] 48/1000
    replicate 1/20 [13:31:50] 49/1000
    replicate 1/20 [13:31:50] 50/1000
    replicate 1/20 [13:31:50] 51/1000
    replicate 1/20 [13:31:50] 52/1000
    replicate 1/20 [13:31:50] 53/1000
    replicate 1/20 [13:31:50] 54/1000
    replicate 1/20 [13:31:50] 55/1000
    replicate 1/20 [13:31:50] 56/1000
    replicate 1/20 [13:31:50] 57/1000
    replicate 1/20 [13:31:50] 58/1000
    replicate 1/20 [13:31:50] 59/1000
    replicate 1/20 [13:31:51] 60/1000
    replicate 1/20 [13:31:51] 61/1000
    replicate 1/20 [13:31:51] 62/1000
    replicate 1/20 [13:31:51] 63/1000
    replicate 1/20 [13:31:51] 64/1000
    replicate 1/20 [13:31:51] 65/1000
    replicate 1/20 [13:31:51] 66/1000
    replicate 1/20 [13:31:51] 67/1000
    replicate 1/20 [13:31:51] 68/1000
    replicate 1/20 [13:31:51] 69/1000
    replicate 1/20 [13:31:51] 70/1000
    replicate 1/20 [13:31:51] 71/1000
    replicate 1/20 [13:31:51] 72/1000
    replicate 1/20 [13:31:51] 73/1000
    replicate 1/20 [13:31:51] 74/1000
    replicate 1/20 [13:31:51] 75/1000
    replicate 1/20 [13:31:51] 76/1000
    replicate 1/20 [13:31:51] 77/1000
    replicate 1/20 [13:31:51] 78/1000
    replicate 1/20 [13:31:51] 79/1000
    replicate 1/20 [13:31:51] 80/1000
    replicate 1/20 [13:31:51] 81/1000
    replicate 1/20 [13:31:51] 82/1000
    replicate 1/20 [13:31:51] 83/1000
    replicate 1/20 [13:31:51] 84/1000
    replicate 1/20 [13:31:51] 85/1000
    replicate 1/20 [13:31:51] 86/1000
    replicate 1/20 [13:31:51] 87/1000
    replicate 1/20 [13:31:51] 88/1000
    replicate 1/20 [13:31:51] 89/1000
    replicate 1/20 [13:31:51] 90/1000
    replicate 1/20 [13:31:51] 91/1000
    replicate 1/20 [13:31:51] 92/1000
    replicate 1/20 [13:31:51] 93/1000
    replicate 1/20 [13:31:51] 94/1000
    replicate 1/20 [13:31:51] 95/1000
    replicate 1/20 [13:31:51] 96/1000
    replicate 1/20 [13:31:51] 97/1000
    replicate 1/20 [13:31:51] 98/1000
    replicate 1/20 [13:31:51] 99/1000
    replicate 1/20 [13:31:51] 100/1000
    replicate 1/20 [13:31:53] 200/1000
    replicate 1/20 [13:31:56] 300/1000
    replicate 1/20 [13:31:57] 400/1000
    replicate 1/20 [13:31:59] 500/1000
    replicate 1/20 [13:32:01] 600/1000
    replicate 1/20 [13:32:03] 700/1000
    replicate 1/20 [13:32:05] 800/1000
    replicate 1/20 [13:32:07] 900/1000
    replicate 1/20 [13:32:09] 1000/1000
    replicate 2/20 [13:32:09] 1/1000                
    replicate 2/20 [13:32:09] 1/1000
>>>> WARNING::offspring containers are not empty at time of breeding, flushing.

    replicate 2/20 [13:32:09] 2/1000
    replicate 2/20 [13:32:09] 3/1000
    replicate 2/20 [13:32:09] 4/1000
    replicate 2/20 [13:32:09] 5/1000
    replicate 2/20 [13:32:09] 6/1000
    replicate 2/20 [13:32:09] 7/1000
    replicate 2/20 [13:32:09] 8/1000
    replicate 2/20 [13:32:09] 9/1000
    replicate 2/20 [13:32:09] 10/1000
    replicate 2/20 [13:32:09] 11/1000
    replicate 2/20 [13:32:09] 12/1000
    replicate 2/20 [13:32:09] 13/1000
    replicate 2/20 [13:32:09] 14/1000
    replicate 2/20 [13:32:09] 15/1000
    replicate 2/20 [13:32:09] 16/1000
    replicate 2/20 [13:32:09] 17/1000
    replicate 2/20 [13:32:09] 18/1000
    replicate 2/20 [13:32:09] 19/1000
    replicate 2/20 [13:32:09] 20/1000
    replicate 2/20 [13:32:09] 21/1000
    replicate 2/20 [13:32:09] 22/1000
    replicate 2/20 [13:32:09] 23/1000
