selection	configuration	ori_proportion	k	b	generation	layout_run	N_mean	prop_F1	prop_hybrid	HI_mean	n_internal_reps	kb
neutral	dispersed	0.1	30	0.03	1000	1	1519.85	3.48918353105373e-05	0.680761512150291	0.155387412076099	20	k30 b0.03
neutral	dispersed	0.1	30	0.03	1000	2	1505.2	0.000205094438724333	0.572234447710236	0.142763401201109	20	k30 b0.03
neutral	dispersed	0.1	30	0.03	1000	3	1474.5	3.68188512518409e-05	0.696913928822738	0.154212045454164	20	k30 b0.03
neutral	dispersed	0.1	30	0.03	1000	4	1542.35	3.50140056022409e-05	0.656896483449512	0.13796689413782	20	k30 b0.03
neutral	dispersed	0.1	30	0.03	1000	5	1514.4	0.00026525198938992	0.653789879971545	0.161315939052543	20	k30 b0.03
neutral	dispersed	0.25	30	0.03	1000	1	1477.65	0.00192940660970016	0.92643883662171	0.368176938215111	20	k30 b0.03
neutral	dispersed	0.25	30	0.03	1000	2	1482.85	0.00316480289350616	0.94008982325389	0.415127950790917	20	k30 b0.03
neutral	dispersed	0.25	30	0.03	1000	3	1504.05	0.0010120222955082	0.931243076722626	0.340450794857405	20	k30 b0.03
neutral	dispersed	0.25	30	0.03	1000	4	1508.5	0.00383023198320286	0.958911410119806	0.451712566860967	20	k30 b0.03
neutral	dispersed	0.25	30	0.03	1000	5	1469.7	0.00252765491488313	0.940426592859329	0.38696650187649	20	k30 b0.03
neutral	dispersed	0.4	30	0.03	1000	1	1536.3	0.015415152279488	0.998813016809886	0.664791813786984	20	k30 b0.03
neutral	dispersed	0.4	30	0.03	1000	2	1507.55	0.0145485133075015	0.993661565268015	0.642961262790102	20	k30 b0.03
neutral	dispersed	0.4	30	0.03	1000	3	1493.7	0.0114077918108273	0.997737801345047	0.635120750114557	20	k30 b0.03
neutral	dispersed	0.4	30	0.03	1000	4	1484.95	0.0174829138505467	0.99844223694823	0.699329322985896	20	k30 b0.03
neutral	dispersed	0.4	30	0.03	1000	5	1505.25	0.0179123352941476	0.999264021399239	0.721643561714694	20	k30 b0.03
neutral	multi_cluster	0.1	30	0.03	1000	1	1494.9	0.000840457751451116	0.727884913801855	0.213536282341172	20	k30 b0.03
neutral	multi_cluster	0.1	30	0.03	1000	2	1502.65	0.000471399689171905	0.77703326863625	0.2237262104472	20	k30 b0.03
