
  N E M O A G E 0.32.6b DMI [06 Mar 2025]

  Copyright (C) 2006-2025 The Authors
  This is free software; see the source for copying
  conditions. There is NO warranty; not even for 
  MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
  Repository: https://bitbucket.org/ecoevo/nemo-age-release
  Support: nemo-simul@googlegroups.com
-----------------------------------------------------------
reading parameters from "ini_files/run/multi_cluster_p25_r01_sel_O_k30_b0.03.ini"
setting random seed from input value: 9999

>>>> WARNING::"quanti_allele_value" has less values than the number of loci, allelic values will be recycled among loci.

--- SIMULATION 1/1 ---- [ multi_cluster_p25_r01_sel_O_k30_b0.03 ]

    start: 10-02-2026 13:54:36
    mode: overwrite
    population: 4 stages, 625 patches
    traits: quant(0)
    LCEs: quanti_init(0), breed_disperse(1), seed_disperse(2), viability_selection(3), regulation(4), save_stats(5), aging_multi(6), save_files(7)
    outputs: results/sel_O/multi_cluster/p25/r01/run/{*.log, quanti/*.quanti, *.txt}


    replicate 1/20 [13:54:36] 1/1000                
    replicate 1/20 [13:54:36] 1/1000
>>>> WARNING::offspring containers are not empty at time of breeding, flushing.

    replicate 1/20 [13:54:36] 2/1000
    replicate 1/20 [13:54:36] 3/1000
    replicate 1/20 [13:54:36] 4/1000
    replicate 1/20 [13:54:36] 5/1000
    replicate 1/20 [13:54:36] 6/1000
    replicate 1/20 [13:54:36] 7/1000
    replicate 1/20 [13:54:36] 8/1000
    replicate 1/20 [13:54:36] 9/1000
    replicate 1/20 [13:54:36] 10/1000
    replicate 1/20 [13:54:36] 11/1000
    replicate 1/20 [13:54:36] 12/1000
    replicate 1/20 [13:54:36] 13/1000
    replicate 1/20 [13:54:36] 14/1000
    replicate 1/20 [13:54:36] 15/1000
    replicate 1/20 [13:54:36] 16/1000
    replicate 1/20 [13:54:36] 17/1000
    replicate 1/20 [13:54:36] 18/1000
    replicate 1/20 [13:54:36] 19/1000
    replicate 1/20 [13:54:36] 20/1000
    replicate 1/20 [13:54:36] 21/1000
    replicate 1/20 [13:54:36] 22/1000
    replicate 1/20 [13:54:36] 23/1000
    replicate 1/20 [13:54:36] 24/1000
    replicate 1/20 [13:54:36] 25/1000
    replicate 1/20 [13:54:36] 26/1000
    replicate 1/20 [13:54:36] 27/1000
    replicate 1/20 [13:54:36] 28/1000
    replicate 1/20 [13:54:36] 29/1000
    replicate 1/20 [13:54:36] 30/1000
    replicate 1/20 [13:54:36] 31/1000
    replicate 1/20 [13:54:36] 32/1000
    replicate 1/20 [13:54:36] 33/1000
    replicate 1/20 [13:54:36] 34/1000
    replicate 1/20 [13:54:36] 35/1000
    replicate 1/20 [13:54:36] 36/1000
    replicate 1/20 [13:54:36] 37/1000
    replicate 1/20 [13:54:36] 38/1000
    replicate 1/20 [13:54:36] 39/1000
    replicate 1/20 [13:54:36] 40/1000
    replicate 1/20 [13:54:36] 41/1000
    replicate 1/20 [13:54:36] 42/1000
    replicate 1/20 [13:54:36] 43/1000
    replicate 1/20 [13:54:36] 44/1000
    replicate 1/20 [13:54:36] 45/1000
    replicate 1/20 [13:54:36] 46/1000
    replicate 1/20 [13:54:36] 47/1000
    replicate 1/20 [13:54:36] 48/1000
    replicate 1/20 [13:54:37] 49/1000
    replicate 1/20 [13:54:37] 50/1000
    replicate 1/20 [13:54:37] 51/1000
    replicate 1/20 [13:54:37] 52/1000
    replicate 1/20 [13:54:37] 53/1000
    replicate 1/20 [13:54:37] 54/1000
    replicate 1/20 [13:54:37] 55/1000
    replicate 1/20 [13:54:37] 56/1000
    replicate 1/20 [13:54:37] 57/1000
    replicate 1/20 [13:54:37] 58/1000
    replicate 1/20 [13:54:37] 59/1000
    replicate 1/20 [13:54:37] 60/1000
    replicate 1/20 [13:54:37] 61/1000
    replicate 1/20 [13:54:37] 62/1000
    replicate 1/20 [13:54:37] 63/1000
    replicate 1/20 [13:54:37] 64/1000
    replicate 1/20 [13:54:37] 65/1000
    replicate 1/20 [13:54:37] 66/1000
    replicate 1/20 [13:54:37] 67/1000
    replicate 1/20 [13:54:37] 68/1000
    replicate 1/20 [13:54:37] 69/1000
    replicate 1/20 [13:54:37] 70/1000
    replicate 1/20 [13:54:37] 71/1000
    replicate 1/20 [13:54:37] 72/1000
    replicate 1/20 [13:54:37] 73/1000
    replicate 1/20 [13:54:37] 74/1000
    replicate 1/20 [13:54:37] 75/1000
    replicate 1/20 [13:54:37] 76/1000
    replicate 1/20 [13:54:37] 77/1000
    replicate 1/20 [13:54:37] 78/1000
    replicate 1/20 [13:54:37] 79/1000
    replicate 1/20 [13:54:37] 80/1000
    replicate 1/20 [13:54:37] 81/1000
    replicate 1/20 [13:54:37] 82/1000
    replicate 1/20 [13:54:37] 83/1000
    replicate 1/20 [13:54:38] 84/1000
    replicate 1/20 [13:54:38] 85/1000
    replicate 1/20 [13:54:38] 86/1000
    replicate 1/20 [13:54:38] 87/1000
    replicate 1/20 [13:54:38] 88/1000
    replicate 1/20 [13:54:38] 89/1000
    replicate 1/20 [13:54:38] 90/1000
