
  N E M O A G E 0.32.6b DMI [06 Mar 2025]

  Copyright (C) 2006-2025 The Authors
  This is free software; see the source for copying
  conditions. There is NO warranty; not even for 
  MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
  Repository: https://bitbucket.org/ecoevo/nemo-age-release
  Support: nemo-simul@googlegroups.com
-----------------------------------------------------------
reading parameters from "ini_files/run/transects_p10_r02_neutral_k30_b0.03.ini"
setting random seed from input value: 9999

>>>> WARNING::"quanti_allele_value" has less values than the number of loci, allelic values will be recycled among loci.

--- SIMULATION 1/1 ---- [ transects_p10_r02_neutral_k30_b0.03 ]

    start: 10-02-2026 14:32:54
    mode: overwrite
    population: 4 stages, 625 patches
    traits: quant(0)
    LCEs: quanti_init(0), breed_disperse(1), seed_disperse(2), regulation(3), save_stats(4), aging_multi(5), save_files(6)
    outputs: results/neutral/transects/p10/r02/run/{*.log, quanti/*.quanti, *.txt}


    replicate 1/20 [14:32:54] 1/1000                
    replicate 1/20 [14:32:54] 1/1000
>>>> WARNING::offspring containers are not empty at time of breeding, flushing.

    replicate 1/20 [14:32:54] 2/1000
    replicate 1/20 [14:32:54] 3/1000
    replicate 1/20 [14:32:54] 4/1000
    replicate 1/20 [14:32:54] 5/1000
    replicate 1/20 [14:32:54] 6/1000
    replicate 1/20 [14:32:54] 7/1000
    replicate 1/20 [14:32:54] 8/1000
    replicate 1/20 [14:32:54] 9/1000
    replicate 1/20 [14:32:54] 10/1000
    replicate 1/20 [14:32:54] 11/1000
    replicate 1/20 [14:32:54] 12/1000
    replicate 1/20 [14:32:54] 13/1000
    replicate 1/20 [14:32:54] 14/1000
    replicate 1/20 [14:32:54] 15/1000
    replicate 1/20 [14:32:54] 16/1000
    replicate 1/20 [14:32:54] 17/1000
    replicate 1/20 [14:32:54] 18/1000
    replicate 1/20 [14:32:54] 19/1000
    replicate 1/20 [14:32:54] 20/1000
    replicate 1/20 [14:32:54] 21/1000
    replicate 1/20 [14:32:54] 22/1000
    replicate 1/20 [14:32:54] 23/1000
    replicate 1/20 [14:32:54] 24/1000
    replicate 1/20 [14:32:54] 25/1000
    replicate 1/20 [14:32:54] 26/1000
    replicate 1/20 [14:32:54] 27/1000
    replicate 1/20 [14:32:54] 28/1000
    replicate 1/20 [14:32:54] 29/1000
    replicate 1/20 [14:32:54] 30/1000
    replicate 1/20 [14:32:54] 31/1000
    replicate 1/20 [14:32:54] 32/1000
    replicate 1/20 [14:32:54] 33/1000
    replicate 1/20 [14:32:54] 34/1000
    replicate 1/20 [14:32:54] 35/1000
    replicate 1/20 [14:32:54] 36/1000
    replicate 1/20 [14:32:54] 37/1000
    replicate 1/20 [14:32:54] 38/1000
    replicate 1/20 [14:32:54] 39/1000
    replicate 1/20 [14:32:54] 40/1000
    replicate 1/20 [14:32:54] 41/1000
    replicate 1/20 [14:32:54] 42/1000
    replicate 1/20 [14:32:54] 43/1000
    replicate 1/20 [14:32:54] 44/1000
    replicate 1/20 [14:32:55] 45/1000
    replicate 1/20 [14:32:55] 46/1000
    replicate 1/20 [14:32:55] 47/1000
    replicate 1/20 [14:32:55] 48/1000
    replicate 1/20 [14:32:55] 49/1000
    replicate 1/20 [14:32:55] 50/1000
    replicate 1/20 [14:32:55] 51/1000
    replicate 1/20 [14:32:55] 52/1000
    replicate 1/20 [14:32:55] 53/1000
    replicate 1/20 [14:32:55] 54/1000
    replicate 1/20 [14:32:55] 55/1000
    replicate 1/20 [14:32:55] 56/1000
    replicate 1/20 [14:32:55] 57/1000
    replicate 1/20 [14:32:55] 58/1000
    replicate 1/20 [14:32:55] 59/1000
    replicate 1/20 [14:32:55] 60/1000
    replicate 1/20 [14:32:55] 61/1000
    replicate 1/20 [14:32:55] 62/1000
    replicate 1/20 [14:32:55] 63/1000
    replicate 1/20 [14:32:55] 64/1000
    replicate 1/20 [14:32:55] 65/1000
    replicate 1/20 [14:32:55] 66/1000
    replicate 1/20 [14:32:55] 67/1000
    replicate 1/20 [14:32:55] 68/1000
    replicate 1/20 [14:32:55] 69/1000
    replicate 1/20 [14:32:55] 70/1000
    replicate 1/20 [14:32:55] 71/1000
    replicate 1/20 [14:32:55] 72/1000
    replicate 1/20 [14:32:55] 73/1000
    replicate 1/20 [14:32:55] 74/1000
    replicate 1/20 [14:32:55] 75/1000
    replicate 1/20 [14:32:55] 76/1000
