sim_name	configuration	prop_orientalis	run_id	selection	ini	run_root
dispersed_p10_r01	dispersed	0.1	1	neutral	input/ini_files/run/dispersed_p10_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p10/r01
dispersed_p10_r02	dispersed	0.1	2	neutral	input/ini_files/run/dispersed_p10_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p10/r02
dispersed_p10_r03	dispersed	0.1	3	neutral	input/ini_files/run/dispersed_p10_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p10/r03
dispersed_p10_r04	dispersed	0.1	4	neutral	input/ini_files/run/dispersed_p10_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p10/r04
dispersed_p10_r05	dispersed	0.1	5	neutral	input/ini_files/run/dispersed_p10_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p10/r05
one_cluster_p10_r01	one_cluster	0.1	1	neutral	input/ini_files/run/one_cluster_p10_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p10/r01
one_cluster_p10_r02	one_cluster	0.1	2	neutral	input/ini_files/run/one_cluster_p10_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p10/r02
one_cluster_p10_r03	one_cluster	0.1	3	neutral	input/ini_files/run/one_cluster_p10_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p10/r03
one_cluster_p10_r04	one_cluster	0.1	4	neutral	input/ini_files/run/one_cluster_p10_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p10/r04
one_cluster_p10_r05	one_cluster	0.1	5	neutral	input/ini_files/run/one_cluster_p10_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p10/r05
multi_cluster_p10_r01	multi_cluster	0.1	1	neutral	input/ini_files/run/multi_cluster_p10_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p10/r01
multi_cluster_p10_r02	multi_cluster	0.1	2	neutral	input/ini_files/run/multi_cluster_p10_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p10/r02
multi_cluster_p10_r03	multi_cluster	0.1	3	neutral	input/ini_files/run/multi_cluster_p10_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p10/r03
multi_cluster_p10_r04	multi_cluster	0.1	4	neutral	input/ini_files/run/multi_cluster_p10_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p10/r04
multi_cluster_p10_r05	multi_cluster	0.1	5	neutral	input/ini_files/run/multi_cluster_p10_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p10/r05
transects_p10_r01	transects	0.1	1	neutral	input/ini_files/run/transects_p10_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p10/r01
transects_p10_r02	transects	0.1	2	neutral	input/ini_files/run/transects_p10_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p10/r02
transects_p10_r03	transects	0.1	3	neutral	input/ini_files/run/transects_p10_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p10/r03
transects_p10_r04	transects	0.1	4	neutral	input/ini_files/run/transects_p10_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p10/r04
transects_p10_r05	transects	0.1	5	neutral	input/ini_files/run/transects_p10_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p10/r05
dispersed_p25_r01	dispersed	0.25	1	neutral	input/ini_files/run/dispersed_p25_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p25/r01
dispersed_p25_r02	dispersed	0.25	2	neutral	input/ini_files/run/dispersed_p25_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p25/r02
dispersed_p25_r03	dispersed	0.25	3	neutral	input/ini_files/run/dispersed_p25_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p25/r03
dispersed_p25_r04	dispersed	0.25	4	neutral	input/ini_files/run/dispersed_p25_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p25/r04
dispersed_p25_r05	dispersed	0.25	5	neutral	input/ini_files/run/dispersed_p25_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p25/r05
one_cluster_p25_r01	one_cluster	0.25	1	neutral	input/ini_files/run/one_cluster_p25_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p25/r01
one_cluster_p25_r02	one_cluster	0.25	2	neutral	input/ini_files/run/one_cluster_p25_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p25/r02
one_cluster_p25_r03	one_cluster	0.25	3	neutral	input/ini_files/run/one_cluster_p25_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p25/r03
one_cluster_p25_r04	one_cluster	0.25	4	neutral	input/ini_files/run/one_cluster_p25_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p25/r04
one_cluster_p25_r05	one_cluster	0.25	5	neutral	input/ini_files/run/one_cluster_p25_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p25/r05
multi_cluster_p25_r01	multi_cluster	0.25	1	neutral	input/ini_files/run/multi_cluster_p25_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p25/r01
multi_cluster_p25_r02	multi_cluster	0.25	2	neutral	input/ini_files/run/multi_cluster_p25_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p25/r02
multi_cluster_p25_r03	multi_cluster	0.25	3	neutral	input/ini_files/run/multi_cluster_p25_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p25/r03
multi_cluster_p25_r04	multi_cluster	0.25	4	neutral	input/ini_files/run/multi_cluster_p25_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p25/r04
multi_cluster_p25_r05	multi_cluster	0.25	5	neutral	input/ini_files/run/multi_cluster_p25_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/multi_cluster/p25/r05
transects_p25_r01	transects	0.25	1	neutral	input/ini_files/run/transects_p25_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p25/r01
transects_p25_r02	transects	0.25	2	neutral	input/ini_files/run/transects_p25_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p25/r02
transects_p25_r03	transects	0.25	3	neutral	input/ini_files/run/transects_p25_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p25/r03
transects_p25_r04	transects	0.25	4	neutral	input/ini_files/run/transects_p25_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p25/r04
transects_p25_r05	transects	0.25	5	neutral	input/ini_files/run/transects_p25_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/transects/p25/r05
dispersed_p40_r01	dispersed	0.4	1	neutral	input/ini_files/run/dispersed_p40_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p40/r01
dispersed_p40_r02	dispersed	0.4	2	neutral	input/ini_files/run/dispersed_p40_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p40/r02
dispersed_p40_r03	dispersed	0.4	3	neutral	input/ini_files/run/dispersed_p40_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p40/r03
dispersed_p40_r04	dispersed	0.4	4	neutral	input/ini_files/run/dispersed_p40_r04_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p40/r04
dispersed_p40_r05	dispersed	0.4	5	neutral	input/ini_files/run/dispersed_p40_r05_neutral_k30_b0.03.ini	output/simulations/run/neutral/dispersed/p40/r05
one_cluster_p40_r01	one_cluster	0.4	1	neutral	input/ini_files/run/one_cluster_p40_r01_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p40/r01
one_cluster_p40_r02	one_cluster	0.4	2	neutral	input/ini_files/run/one_cluster_p40_r02_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p40/r02
one_cluster_p40_r03	one_cluster	0.4	3	neutral	input/ini_files/run/one_cluster_p40_r03_neutral_k30_b0.03.ini	output/simulations/run/neutral/one_cluster/p40/r03
