sim_name	configuration	prop_orientalis	prop_used	n_orientalis	n_target	run_id	seed	cfg_file	quanti_file	stage_file
dispersed_p10_r01	dispersed	0.1	0.0992	62	62.5	1	110100	input/input_files/configs_txt/dispersed_p10_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r01.txt
dispersed_p10_r02	dispersed	0.1	0.0992	62	62.5	2	110101	input/input_files/configs_txt/dispersed_p10_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r02.txt
dispersed_p10_r03	dispersed	0.1	0.0992	62	62.5	3	110102	input/input_files/configs_txt/dispersed_p10_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r03.txt
dispersed_p10_r04	dispersed	0.1	0.0992	62	62.5	4	110103	input/input_files/configs_txt/dispersed_p10_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r04.txt
dispersed_p10_r05	dispersed	0.1	0.0992	62	62.5	5	110104	input/input_files/configs_txt/dispersed_p10_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_dispersed_p10_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_dispersed_p10_r05.txt
one_cluster_p10_r01	one_cluster	0.1	0.0992	62	62.5	1	110200	input/input_files/configs_txt/one_cluster_p10_r01.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r01.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r01.txt
one_cluster_p10_r02	one_cluster	0.1	0.0992	62	62.5	2	110201	input/input_files/configs_txt/one_cluster_p10_r02.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r02.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r02.txt
one_cluster_p10_r03	one_cluster	0.1	0.0992	62	62.5	3	110202	input/input_files/configs_txt/one_cluster_p10_r03.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r03.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r03.txt
one_cluster_p10_r04	one_cluster	0.1	0.0992	62	62.5	4	110203	input/input_files/configs_txt/one_cluster_p10_r04.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r04.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r04.txt
one_cluster_p10_r05	one_cluster	0.1	0.0992	62	62.5	5	110204	input/input_files/configs_txt/one_cluster_p10_r05.txt	input/input_files/quanti_init_freq/quanti_init_file_one_cluster_p10_r05.txt	input/input_files/patch_init_stage_size/patch_init_stage_size_one_cluster_p10_r05.txt
