sim_name	configuration	prop_orientalis	run_id	K	B	btag	baseline_stage_file	stage_file	ini	run_root
dispersed_p25_r01	dispersed	0.25	1	20	0.01	0.01	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k20_b0.01_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k20_b0.01.txt	supplementary/ini_files/run/dispersed_p25_r01_k20_b0.01.ini	supplementary/results/dispersed/p25/r01/k20_b0.01/run
dispersed_p25_r01	dispersed	0.25	1	20	0.02	0.02	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k20_b0.02_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k20_b0.02.txt	supplementary/ini_files/run/dispersed_p25_r01_k20_b0.02.ini	supplementary/results/dispersed/p25/r01/k20_b0.02/run
dispersed_p25_r01	dispersed	0.25	1	20	0.03	0.03	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k20_b0.03_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k20_b0.03.txt	supplementary/ini_files/run/dispersed_p25_r01_k20_b0.03.ini	supplementary/results/dispersed/p25/r01/k20_b0.03/run
dispersed_p25_r01	dispersed	0.25	1	20	0.04	0.04	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k20_b0.04_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k20_b0.04.txt	supplementary/ini_files/run/dispersed_p25_r01_k20_b0.04.ini	supplementary/results/dispersed/p25/r01/k20_b0.04/run
dispersed_p25_r01	dispersed	0.25	1	20	0.05	0.05	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k20_b0.05_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k20_b0.05.txt	supplementary/ini_files/run/dispersed_p25_r01_k20_b0.05.ini	supplementary/results/dispersed/p25/r01/k20_b0.05/run
dispersed_p25_r01	dispersed	0.25	1	20	0.06	0.06	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k20_b0.06_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k20_b0.06.txt	supplementary/ini_files/run/dispersed_p25_r01_k20_b0.06.ini	supplementary/results/dispersed/p25/r01/k20_b0.06/run
dispersed_p25_r01	dispersed	0.25	1	30	0.01	0.01	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k30_b0.01_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k30_b0.01.txt	supplementary/ini_files/run/dispersed_p25_r01_k30_b0.01.ini	supplementary/results/dispersed/p25/r01/k30_b0.01/run
dispersed_p25_r01	dispersed	0.25	1	30	0.02	0.02	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k30_b0.02_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k30_b0.02.txt	supplementary/ini_files/run/dispersed_p25_r01_k30_b0.02.ini	supplementary/results/dispersed/p25/r01/k30_b0.02/run
dispersed_p25_r01	dispersed	0.25	1	30	0.03	0.03	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k30_b0.03_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k30_b0.03.txt	supplementary/ini_files/run/dispersed_p25_r01_k30_b0.03.ini	supplementary/results/dispersed/p25/r01/k30_b0.03/run
dispersed_p25_r01	dispersed	0.25	1	30	0.04	0.04	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k30_b0.04_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k30_b0.04.txt	supplementary/ini_files/run/dispersed_p25_r01_k30_b0.04.ini	supplementary/results/dispersed/p25/r01/k30_b0.04/run
dispersed_p25_r01	dispersed	0.25	1	30	0.05	0.05	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k30_b0.05_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k30_b0.05.txt	supplementary/ini_files/run/dispersed_p25_r01_k30_b0.05.ini	supplementary/results/dispersed/p25/r01/k30_b0.05/run
dispersed_p25_r01	dispersed	0.25	1	30	0.06	0.06	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k30_b0.06_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k30_b0.06.txt	supplementary/ini_files/run/dispersed_p25_r01_k30_b0.06.ini	supplementary/results/dispersed/p25/r01/k30_b0.06/run
dispersed_p25_r01	dispersed	0.25	1	40	0.01	0.01	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k40_b0.01_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k40_b0.01.txt	supplementary/ini_files/run/dispersed_p25_r01_k40_b0.01.ini	supplementary/results/dispersed/p25/r01/k40_b0.01/run
dispersed_p25_r01	dispersed	0.25	1	40	0.02	0.02	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k40_b0.02_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k40_b0.02.txt	supplementary/ini_files/run/dispersed_p25_r01_k40_b0.02.ini	supplementary/results/dispersed/p25/r01/k40_b0.02/run
dispersed_p25_r01	dispersed	0.25	1	40	0.03	0.03	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k40_b0.03_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k40_b0.03.txt	supplementary/ini_files/run/dispersed_p25_r01_k40_b0.03.ini	supplementary/results/dispersed/p25/r01/k40_b0.03/run
dispersed_p25_r01	dispersed	0.25	1	40	0.04	0.04	supplementary/input_files/patch_init_stage_size/patch_init_stage_size_baseline_k40_b0.04_gen500_rep01.txt	supplementary/input_files/patch_init_stage_size/scenarios/patch_init_stage_size_dispersed_p25_r01_k40_b0.04.txt	supplementary/ini_files/run/dispersed_p25_r01_k40_b0.04.ini	supplementary/results/dispersed/p25/r01/k40_b0.04/run
